,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,16-08-2020 12:00:08,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,16-08-2020 12:00:08,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,16-08-2020 12:00:08,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,16-08-2020 12:00:08,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,0.5 гр,0.0025,2196,828,74,30,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,16-08-2020 12:00:08,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,8,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
5,16-08-2020 12:00:08,Tbilisi,JVZTQ,partyshop,0.5 шишки Girl Scout Cookies тгк thc 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33,,,,,,,,,,,,0.5 shishki Girl Scout Cookies tgk thc 28%
6,16-08-2020 12:00:08,Tbilisi,8B31,GEOWEEDSHOP,0.5g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,2,нет,Тбилиси,0.5 гр,0.0022,1904,718,64,26,,,,,,,,,,,,0.5g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
7,16-08-2020 12:00:08,Tbilisi,7LHWP,GEOBUDS,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,2,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28,,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
8,16-08-2020 12:00:08,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,16-08-2020 12:00:08,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.50G Imported Crystals,True,1,нет,Тбилиси,0.5 гр,0.0519,45028,16974,1511,615,,,,,,,,,,,,VHQ Methadon 0.50G Imported Crystals
10,16-08-2020 12:00:08,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,4,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
11,16-08-2020 12:00:08,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
12,16-08-2020 12:00:08,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
13,16-08-2020 12:00:08,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,16-08-2020 12:00:08,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
15,16-08-2020 12:00:08,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 gr super lemon haze probnik
16,16-08-2020 12:00:08,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,16-08-2020 12:00:08,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
