,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-02-2020 11:24:09,Tbilisi,61df6a1c90,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0118,8249,3203,286,130.0,,,,,,,,,,Metadon 0.15gr
1,1,17-02-2020 11:24:09,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3807,1478,132,60.0,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,2,17-02-2020 11:24:09,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0163,11422,4435,396,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,17-02-2020 11:24:09,Tbilisi,32e645c201,"methadone 0,29 gr",,1,нет,Тбилиси,0.29 гр,0.0209,13325,5174,462,210.0,True,,,,,,,,,"methadone 0,29 gr"
4,4,17-02-2020 11:24:09,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0162,12056,4682,418,190.0,,,,,,,,,,Metadon 0.30gr
5,5,17-02-2020 11:24:09,Tbilisi,7fa257ac43,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,6,нет,Тбилиси,0.33 гр,0.0065,4124,1602,143,65.0,,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
6,6,17-02-2020 11:24:09,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,1,нет,Тбилиси,0.35 гр,0.0179,11422,4435,396,180.0,,,,,,,,,,Methadone HQ in city 0.35g
7,7,17-02-2020 11:24:09,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0109,6916,2686,240,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
8,8,17-02-2020 11:24:09,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.011000000000000001,6980,2710,242,110.0,,,,,,,,,,"Cocaine, 0.5 g"
9,9,17-02-2020 11:24:09,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0262,18402,7146,638,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,17-02-2020 11:24:09,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,3,нет,Тбилиси,0.5 гр,0.0099,6282,2439,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,11,17-02-2020 11:24:09,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,12,нет,Тбилиси,0.5 гр,0.003,1904,739,66,30.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,12,17-02-2020 11:24:09,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,10,нет,Тбилиси,0.5 гр,0.0104,6916,2686,240,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,13,17-02-2020 11:24:09,Tbilisi,32e645c201,"methadone 0,55 gr",True,1,нет,Тбилиси,0.55 гр,0.0477,30458,11827,1055,480.0,,,,,,,,,,"methadone 0,55 gr"
14,14,17-02-2020 11:24:09,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0271,19036,7392,660,300.0,,,,,,,,,,Metadon 0.6gr
15,15,17-02-2020 11:24:09,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,4,нет,Тбилиси,0.8 гр,0.0119,7614,2957,264,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
16,16,17-02-2020 11:24:09,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,1 гр,0.0041,2855,1109,99,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,17-02-2020 11:24:09,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,7,нет,Тбилиси,1 гр,0.0119,7614,2957,264,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
18,18,17-02-2020 11:24:09,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,10,нет,Тбилиси,1 гр,0.004,2602,1010,90,41.0,True,,,,,,,,,1G -- AK-47 -> Sativa
19,19,17-02-2020 11:24:09,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0092,5846,2273,203,,,85.0,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
20,20,17-02-2020 11:24:09,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0199,12564,4879,435,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
21,21,17-02-2020 11:24:09,Tbilisi,da96c34455,ALFA PVP in City 1g,True,6,нет,Тбилиси,1 гр,0.0119,7614,2957,264,120.0,,,,,,,,,,ALFA PVP in City 1g
22,22,17-02-2020 11:24:09,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0221,13960,5421,484,220.0,,,,,,,,,,"Cocaine, 1g"
23,23,17-02-2020 11:24:09,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,1,нет,Тбилиси,1 гр,0.0064,4470,1738,155,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
24,24,17-02-2020 11:24:09,Tbilisi,8219f5e7b8,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.01,6345,2464,220,100.0,,,,,,,,,,Ketamine 1g
25,25,17-02-2020 11:24:09,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,4,нет,Тбилиси,1 гр,0.004,2538,986,88,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
