,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-02-2020 16:51:19,Tbilisi,61df6a1c90,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0119,8230,3194,286,130.0,,,,,,,,,Metadon 0.15gr
1,1,17-02-2020 16:51:19,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3799,1474,132,60.0,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,2,17-02-2020 16:51:19,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0164,11396,4423,396,180.0,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,17-02-2020 16:51:19,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0164,12029,4668,418,190.0,,,,,,,,,Metadon 0.30gr
4,4,17-02-2020 16:51:19,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,7,нет,Тбилиси,0.5 гр,0.011000000000000001,6901,2678,240,109.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,17-02-2020 16:51:19,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,0.5 гр,0.0029,1836,713,64,29.0,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
6,6,17-02-2020 16:51:19,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0111,6964,2703,242,110.0,,,,,,,,,"Cocaine, 0.5 g"
7,7,17-02-2020 16:51:19,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0265,18359,7125,638,290.0,,,,,,,,,Metadon VHQ 0.5 24/7
8,8,17-02-2020 16:51:19,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.01,6268,2432,218,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
9,9,17-02-2020 16:51:19,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,12,нет,Тбилиси,0.5 гр,0.003,1899,737,66,30.0,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
10,10,17-02-2020 16:51:19,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0105,6901,2678,240,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
11,11,17-02-2020 16:51:19,Tbilisi,32e645c201,"methadone 0,55 gr",True,1,нет,Тбилиси,0.55 гр,0.0482,30388,11794,1055,480.0,,,,,,,,,"methadone 0,55 gr"
12,12,17-02-2020 16:51:19,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0274,18993,7371,660,300.0,,,,,,,,,Metadon 0.6gr
13,13,17-02-2020 16:51:19,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,2,нет,Тбилиси,0.8 гр,0.012,7597,2948,264,120.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,14,17-02-2020 16:51:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,1 гр,0.0041,2849,1106,99,45.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,15,17-02-2020 16:51:19,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,7,нет,Тбилиси,1 гр,0.012,7597,2948,264,120.0,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
16,16,17-02-2020 16:51:19,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,20,нет,Тбилиси,1 гр,0.0045,2849,1106,99,45.0,True,True,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
17,17,17-02-2020 16:51:19,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,7,нет,Тбилиси,1 гр,0.004,2596,1007,90,41.0,,True,,,,,,,1G -- AK-47 -> Sativa
18,18,17-02-2020 16:51:19,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0201,12535,4865,435,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
19,19,17-02-2020 16:51:19,Tbilisi,da96c34455,ALFA PVP in City 1g,True,5,нет,Тбилиси,1 гр,0.012,7597,2948,264,120.0,,,,,,,,,ALFA PVP in City 1g
20,20,17-02-2020 16:51:19,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0223,13928,5405,484,220.0,,,,,,,,,"Cocaine, 1g"
21,21,17-02-2020 16:51:19,Tbilisi,8219f5e7b8,Ketamine 1g,True,3,нет,Тбилиси,1 гр,0.0101,6331,2457,220,100.0,,,,,,,,,Ketamine 1g
22,22,17-02-2020 16:51:19,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,4,нет,Тбилиси,1 гр,0.0041,2532,983,88,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
23,23,17-02-2020 16:51:19,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%(ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.0103,6647,2580,231,105.0,True,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%(POD'EZD!!!)
24,24,17-02-2020 16:51:19,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0456,31654,12285,1099,500.0,,,,,,,,,Metadon VHQ 1 24/7
25,25,17-02-2020 16:51:19,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0109,7597,2948,264,120.0,,,,,,,,,NZT-52 mind storm limited 1g muka
26,26,17-02-2020 16:51:19,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,9,нет,Тбилиси,1 гр,0.0192,12598,4889,438,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
27,27,17-02-2020 16:51:19,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0169,11079,4300,385,175.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
28,28,17-02-2020 16:51:19,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0188,11965,4644,416,189.0,,,,,,,,,Kokain HQ 1g.
29,29,17-02-2020 16:51:19,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.018000000000000002,11332,4398,394,179.0,,,True,,,,,,Kokain KOLUMBIA 1g
30,30,17-02-2020 16:51:19,Tbilisi,61df6a1c90,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0411,28489,11057,989,450.0,,,,,,,,,Metadon 1gr
31,31,17-02-2020 16:51:54,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,5,нет,Тбилиси,1.3 гр,0.0553,34820,13514,1209,550.0,,,,,,,,,Methadone HQ in city 1.3g
32,32,17-02-2020 16:51:54,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,5,нет,Тбилиси,2 гр,0.008,5001,1941,174,79.0,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
33,33,17-02-2020 16:51:54,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0078,5381,2088,187,85.0,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
34,34,17-02-2020 16:51:54,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0082,5191,2015,180,82.0,True,True,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
35,35,17-02-2020 16:51:54,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,9,нет,Тбилиси,2 гр,0.0079,5065,1966,176,80.0,,True,,,,,,,2G -- AK-47 -> Sativa
36,36,17-02-2020 16:51:54,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,7,нет,Тбилиси,2 гр,0.008,5001,1941,174,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
