,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,17-03-2020 03:13:55,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0159,6671,2511,213,90,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,17-03-2020 03:13:55,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,12,нет,Тбилиси,0.25 гр,0.0305,14084,5301,449,190,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,17-03-2020 03:13:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,10,10,Тбилиси,0.27 гр,0.0405,16827,6333,537,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,17-03-2020 03:13:55,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0194,8080,3041,258,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
4,17-03-2020 03:13:55,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr,,10,нет,Тбилиси,0.5 гр,0.0175,8080,3041,258,109,True,,,,,,,,,,COCAINE VHQ!!! 0.5gr
5,17-03-2020 03:13:55,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0168,7339,2762,234,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,17-03-2020 03:13:55,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),,22,нет,Тбилиси,0.5 гр,0.0143,6597,2483,210,89,True,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,17-03-2020 03:13:55,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0176,7339,2762,234,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,17-03-2020 03:13:55,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0185,8080,3041,258,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,17-03-2020 03:13:55,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0088,3706,1395,118,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,17-03-2020 03:13:55,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,4,нет,Тбилиси,1 гр,0.0212,8895,3348,284,120,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,17-03-2020 03:13:55,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.0141,5930,2232,189,80,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
12,17-03-2020 03:13:55,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0081,3410,1283,109,46,,,,,,,,,,,Amsterdam weed sativa 1gr
13,17-03-2020 03:13:55,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0303,13269,4994,423,179,,,,,,,,,,,Cocaine Pure VHQ 1g
14,17-03-2020 03:13:55,Tbilisi,V4T,COCAcoLA,MDMA 1gr лучший товар на площадке!,,2,нет,Тбилиси,1 гр,0.0194,8154,3069,260,110,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
15,17-03-2020 03:13:55,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,5,нет,Тбилиси,1 гр,0.0882,40769,15345,1300,550,,,,,,,,,,,Metadon VHQ 1 24/7
16,17-03-2020 03:13:55,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,2,нет,Тбилиси,1 гр,0.0337,14010,5273,447,189,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
17,17-03-2020 03:13:55,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0337,14751,5552,470,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
18,17-03-2020 03:13:55,Tbilisi,V4T,COCAcoLA,cocaine 1gr СУПЕР COCA!!!,,6,нет,Тбилиси,1 гр,0.0321,14825,5580,473,200,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
19,17-03-2020 03:13:55,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.033,14010,5273,447,189,,,,,,,,,,,Kokain HQ 1g.
20,17-03-2020 03:13:55,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1444,66714,25110,2127,900,,,,,,,,,,,Metadon 1gr
21,17-03-2020 03:13:55,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0032,1483,558,47,20,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
22,17-03-2020 03:13:55,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,7,нет,Тбилиси,1 гр,0.0123,5115,1925,163,69,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
23,17-03-2020 03:13:55,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,16,нет,Тбилиси,2 гр,0.0144,6671,2511,213,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
24,17-03-2020 03:13:55,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0122,5115,1925,163,69,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,17-03-2020 03:13:55,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0641,26685,10044,851,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
26,17-03-2020 03:13:55,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0626,28909,10881,922,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
