,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-03-2020 17:44:26,Tbilisi,99accec7c7,HEROINE 0.25 VHQ tru heroine из авганистана!,True,10,нет,Тбилиси,0.25 гр,0.03,14778,5840,473,200.0,,,,,,,,,,,HEROINE 0.25 VHQ tru heroine iz avganistana!
1,1,17-03-2020 17:44:26,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0149,6650,2628,213,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,17-03-2020 17:44:26,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,9,нет,Тбилиси,0.25 гр,0.0285,14039,5548,449,190.0,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,17-03-2020 17:44:26,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0378,16773,6628,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,4,17-03-2020 17:44:26,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",,1,нет,Тбилиси,0.5 гр,0.0182,8054,3183,258,109.0,True,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,17-03-2020 17:44:26,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr,True,9,нет,Тбилиси,0.5 гр,0.0164,8054,3183,258,109.0,,,,,,,,,,,COCAINE VHQ!!! 0.5gr
6,6,17-03-2020 17:44:26,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),True,22,нет,Тбилиси,0.5 гр,0.012,5911,2336,189,80.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,7,17-03-2020 17:44:26,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,6,нет,Тбилиси,0.5 гр,0.0165,7315,2891,234,99.0,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,17-03-2020 17:44:26,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0173,8054,3183,258,109.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,17-03-2020 17:44:26,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0083,3694,1460,118,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
