,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Gldani,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,17-04-2020 00:23:12,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,9,нет,Тбилиси,0.12 гр,0.0136,8218,3014,270,110,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,17-04-2020 00:23:12,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0186,10086,3699,331,135,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,17-04-2020 00:23:12,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0184,10086,3699,331,135,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,17-04-2020 00:23:12,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0189,10460,3836,343,140,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,17-04-2020 00:23:12,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0037,2241,822,74,30,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
5,17-04-2020 00:23:12,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.006,3287,1206,108,44,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,17-04-2020 00:23:12,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0053,2914,1069,96,39,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,17-04-2020 00:23:12,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,7,нет,Тбилиси,1 гр,0.0075,4109,1507,135,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
8,17-04-2020 00:23:12,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0053,2914,1069,96,39,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,17-04-2020 00:23:12,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.0078,4259,1562,140,57,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
