,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,17-06-2020 03:24:25,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,3,нет,Тбилиси,0.25 гр,0.0124,8616,3314,293,109,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,17-06-2020 03:24:25,Tbilisi,LBSO,4RAW4,Heroin “sirec” 0.25g 4 person,True,,9,нет,Тбилиси,0.25 гр,0.0118,8370,3228,285,,True,120,,,,,,,Heroin “sirec” 0.25g 4 person
2,17-06-2020 03:24:25,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,,1,нет,Тбилиси,0.25 гр,0.0102,6975,2690,238,,True,100,,,,,,,NEW Iranian Sirec 0.25g.
3,17-06-2020 03:24:25,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,,,2,нет,Тбилиси,0.5 гр,0.0032,2162,834,74,,True,31,,,,,,,Ak - 47 0.5g
4,17-06-2020 03:24:25,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,,1,нет,Тбилиси,0.5 гр,0.0031,2093,807,71,,True,30,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,17-06-2020 03:24:25,Tbilisi,6P9R,RickNMorty,VHQ Hibryd Photo Strains(Indica) High THC 26%+ 0.5G,True,,1,нет,Тбилиси,0.5 гр,0.0036,2441,942,83,,,35,,,,,,,VHQ Hibryd Photo Strains(Indica) High THC 26%+ 0.5G
6,17-06-2020 03:24:25,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,True,,4,нет,Тбилиси,1 гр,0.004,2720,1049,93,,,39,True,,,,,,1 g marihuana shishki VHQ indika THC 20%
7,17-06-2020 03:24:25,Tbilisi,X4ZM,ZYX,NEW ! White Shark ! BUDS ! 1G,True,,3,нет,Тбилиси,1 гр,0.0046,3139,1211,107,,,45,,,,,,,NEW ! White Shark ! BUDS ! 1G
8,17-06-2020 03:24:25,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr,,,4,нет,Тбилиси,1 гр,0.0056,3836,1480,131,,True,55,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr
9,17-06-2020 03:24:25,Tbilisi,9Y6T,WeedShop,AK47 1.5г,,,5,нет,Тбилиси,1.5 гр,0.0083,5720,2206,195,,True,82,,,,,,,AK47 1.5g
10,17-06-2020 03:24:25,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,,2,нет,Тбилиси,2 гр,0.0087,5929,2287,202,,,85,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,17-06-2020 03:24:25,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,,7,нет,Тбилиси,3 гр,0.0089,6068,2340,207,,True,87,,,,,,,3 gr georgian weed. Package on magnet
12,17-06-2020 03:24:25,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,,3,нет,Тбилиси,3 гр,0.007,4813,1856,164,,,69,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
13,17-06-2020 03:24:25,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,,3,нет,Тбилиси,4 гр,0.0143,9765,3766,333,,,140,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
14,17-06-2020 03:24:25,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,,5,нет,Тбилиси,5 гр,0.0132,8998,3470,307,,True,129,,,,,,,5 gr georgian weed. Package on magnet
15,17-06-2020 03:24:25,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,,2,нет,Тбилиси,5 гр,0.0223,16741,6456,570,,True,240,,,,,,,5g. marihuana shishki Critical
16,17-06-2020 03:24:25,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,,7,нет,Тбилиси,5 гр,0.018,12207,4708,416,,True,175,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17-06-2020 03:24:25,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,,1,нет,Тбилиси,5 гр,0.1158,81610,31473,2780,,True,1170,,,,,,,VHQ BEST Cocaine 5g.
18,17-06-2020 03:24:25,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,,5,нет,Тбилиси,5 гр,0.0101,6905,2663,235,,True,99,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
19,17-06-2020 03:24:25,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,,2,нет,Тбилиси,10 гр,0.0244,16671,6429,568,,True,239,,,,,,,10 gr georgian weed. Package on magnet
20,17-06-2020 03:24:25,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,,,3,нет,Тбилиси,10 гр,0.0014,977,377,33,,True,14,,,,,,,GABAGAMA 10 shtuk
