,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,17-07-2020 22:36:09,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,True,9,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
1,1,17-07-2020 22:36:09,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,,11,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
2,2,17-07-2020 22:36:09,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,,1,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,3,17-07-2020 22:36:09,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,,1,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,4,17-07-2020 22:36:09,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,,11,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,17-07-2020 22:36:09,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,,2,нет,Тбилиси,1 гр,0.0062,4231,1625,142,59.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,17-07-2020 22:36:09,Tbilisi,21de5577be,1.0 gr. Magic Kush (INDICA),,,9,нет,Тбилиси,1 гр,0.0055,3729,1433,125,52.0,True,,,,,,,,,,1.0 gr. Magic Kush (INDICA)
7,7,17-07-2020 22:36:09,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,,5,нет,Тбилиси,1 гр,0.0053,3586,1378,120,50.0,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
8,8,17-07-2020 22:36:09,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,,1,нет,Тбилиси,1 гр,0.0063,4303,1653,144,60.0,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,9,17-07-2020 22:36:09,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,,1,нет,Тбилиси,1 гр,0.0053,3944,1515,132,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
