,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,18-02-2020 02:21:46,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0119,8230,3186,285,130,,,,,,,,,,Metadon 0.15gr
1,18-02-2020 02:21:46,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3799,1471,132,60,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,18-02-2020 02:21:46,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0165,11396,4412,395,180,,,,,,,,,,Metadon VHQ 0.25 24/7
3,18-02-2020 02:21:46,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0211,13295,5147,461,210,True,,,,,,,,,"methadone 0,29 gr"
4,18-02-2020 02:21:46,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0164,12029,4657,417,190,,,,,,,,,,Metadon 0.30gr
5,18-02-2020 02:21:46,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0111,6901,2672,239,109,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,18-02-2020 02:21:46,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,4,нет,Тбилиси,0.5 гр,0.0029,1836,711,64,29,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
7,18-02-2020 02:21:46,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0265,18359,7108,636,290,,,,,,,,,,Metadon VHQ 0.5 24/7
8,18-02-2020 02:21:46,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0101,6268,2426,217,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
9,18-02-2020 02:21:46,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,10,нет,Тбилиси,0.5 гр,0.003,1899,735,66,30,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
10,18-02-2020 02:21:46,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0105,6901,2672,239,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
11,18-02-2020 02:21:46,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0275,18993,7353,658,300,,,,,,,,,,Metadon 0.6gr
12,18-02-2020 02:21:46,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,2,нет,Тбилиси,0.8 гр,0.0121,7597,2941,263,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
13,18-02-2020 02:21:46,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,4,нет,Тбилиси,1 гр,0.0121,7597,2941,263,120,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
14,18-02-2020 02:21:46,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0091,5698,2206,198,90,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
15,18-02-2020 02:21:46,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,1 гр,0.0045,2849,1103,99,45,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
16,18-02-2020 02:21:46,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0086,5381,2083,187,85,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
17,18-02-2020 02:21:46,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,4,нет,Тбилиси,1 гр,0.004,2596,1005,90,41,True,,,,,,,,,1G -- AK-47 -> Sativa
18,18-02-2020 02:21:46,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0093,5833,2261,202,,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
19,18-02-2020 02:21:46,Tbilisi,Y7587,PVPStore,ALFA PVP in City 1g,True,1,нет,Тбилиси,1 гр,0.0121,7597,2941,263,120,,,,,,,,,,ALFA PVP in City 1g
20,18-02-2020 02:21:46,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,4,нет,Тбилиси,1 гр,0.0064,4460,1729,155,,,,65,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
21,18-02-2020 02:21:46,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0102,6331,2451,219,100,,,,,,,,,,Ketamine 1g
22,18-02-2020 02:21:46,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0041,2532,980,88,40,,,,,,,,,,"LSD - 250 ug, 1piece"
