,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,18-03-2020 12:13:32,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,10,нет,Тбилиси,0.25 гр,0.0312,14039,5415,450,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,18-03-2020 12:13:32,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0149,6650,2565,213,90,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,18-03-2020 12:13:32,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,9,нет,Тбилиси,0.25 гр,0.0287,14039,5415,450,190,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,18-03-2020 12:13:32,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0381,16773,6470,537,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,18-03-2020 12:13:32,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr THE BEST COCA,True,4,нет,Тбилиси,0.5 гр,0.0181,8054,3107,258,109,,,,,,,,,,,COCAINE VHQ!!! 0.5gr THE BEST COCA
5,18-03-2020 12:13:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0158,7315,2822,234,99,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,18-03-2020 12:13:32,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,19,нет,Тбилиси,0.5 гр,0.012,5542,2138,178,75,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
7,18-03-2020 12:13:32,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",,3,нет,Тбилиси,0.5 гр,0.0166,7315,2822,234,99,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,18-03-2020 12:13:32,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0174,8054,3107,258,109,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,18-03-2020 12:13:32,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0083,3694,1425,118,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,18-03-2020 12:13:32,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,9,нет,Тбилиси,1 гр,0.0199,8867,3420,284,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,18-03-2020 12:13:32,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,2,нет,Тбилиси,1 гр,0.0149,6650,2565,213,90,True,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
12,18-03-2020 12:13:32,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",,7,нет,Тбилиси,1 гр,0.0166,7389,2850,237,100,True,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
