,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-03-2020 17:38:13,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,8,нет,Тбилиси,0.25 гр,0.0321,14670,5377,450,190.0,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,18-03-2020 17:38:13,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0154,6949,2547,213,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,18-03-2020 17:38:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,11,10,Тбилиси,0.27 гр,0.0392,17527,6424,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,3,18-03-2020 17:38:13,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr THE BEST COCA,True,2,нет,Тбилиси,0.5 гр,0.0186,8416,3085,258,109.0,,,,,,,,,,,COCAINE VHQ!!! 0.5gr THE BEST COCA
4,4,18-03-2020 17:38:13,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,19,нет,Тбилиси,0.5 гр,0.0123,5791,2123,178,75.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
5,5,18-03-2020 17:38:13,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,2,нет,Тбилиси,0.5 гр,0.0171,7644,2802,234,99.0,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
6,6,18-03-2020 17:38:13,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0179,8416,3085,258,109.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,18-03-2020 17:38:13,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0085,3861,1415,118,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,18-03-2020 17:38:13,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,9,нет,Тбилиси,1 гр,0.0205,9266,3396,284,120.0,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
9,9,18-03-2020 17:38:13,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",,5,нет,Тбилиси,1 гр,0.0171,7721,2830,237,100.0,True,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
10,10,18-03-2020 17:38:13,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.0197,9266,3396,284,120.0,,,,,,,,,,,1g MDMA (IMPORTED)
11,11,18-03-2020 17:38:13,Tbilisi,99accec7c7,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,5,нет,Тбилиси,1 гр,0.0342,15443,5660,473,200.0,,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
12,12,18-03-2020 17:38:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0293,13821,5066,424,179.0,True,,,,,,,,,,Cocaine Pure VHQ 1g
13,13,18-03-2020 17:38:13,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,2,нет,Тбилиси,1 гр,0.0082,3706,1358,114,48.0,True,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
14,14,18-03-2020 17:38:13,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,,1,нет,Тбилиси,1 гр,0.0326,14593,5349,447,189.0,True,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
15,15,18-03-2020 17:38:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,5,нет,Тбилиси,1 гр,0.0326,15365,5632,471,199.0,True,,,,,,,,,,VHQ BEST Cocaine 1g.
16,16,18-03-2020 17:38:13,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,8,нет,Тбилиси,1 гр,0.0036,1776,651,54,23.0,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
17,17,18-03-2020 17:38:13,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,1,нет,Тбилиси,1 гр,0.032,14593,5349,447,189.0,True,,,,,,,,,,Kokain HQ 1g.
18,18,18-03-2020 17:38:13,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1397,69492,25470,2131,900.0,True,,,,,,,,,,Metadon 1gr
19,19,18-03-2020 17:38:13,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.0031,1544,566,47,20.0,True,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
