,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Old Tbilisi (Старый город),Дигоми,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,18-04-2020 04:23:33,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,17,нет,Тбилиси,0.5 гр,0.0186,9982,3699,330,135,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,18-04-2020 04:23:33,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0189,10352,3836,342,140,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
2,18-04-2020 04:23:33,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,11,нет,Тбилиси,1 гр,0.0068,4067,1507,134,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,18-04-2020 04:23:33,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,7,нет,Тбилиси,1 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
4,18-04-2020 04:23:33,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.0078,4215,1562,139,57,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,18-04-2020 04:23:33,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,8,нет,Тбилиси,1 гр,0.0078,4215,1562,139,57,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,18-04-2020 04:23:33,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,6,нет,Тбилиси,1 гр,0.0075,4067,1507,134,55,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
7,18-04-2020 04:23:33,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,6,нет,Тбилиси,1 гр,0.0028,1522,566,50,,True,19,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
8,18-04-2020 04:23:33,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1113,66550,24660,2201,900,,,,,,,,,,,,Metadon 1gr
9,18-04-2020 04:23:33,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.0025,1479,548,49,20,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
10,18-04-2020 04:23:33,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0124,7394,2740,245,100,,,,,,,,,,,,2 G Hybrid Marijuana Buds
11,18-04-2020 04:23:33,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0116,6285,2329,208,85,,,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
12,18-04-2020 04:23:33,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0109,5842,2165,193,79,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
13,18-04-2020 04:23:33,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,True,4,нет,Тбилиси,2 гр,0.0064,3475,1288,115,47,,,,,,,,,,,,2gr Indica dominant Buds
14,18-04-2020 04:23:33,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0096,5176,1918,171,70,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,18-04-2020 04:23:33,Tbilisi,18SM,TBILICKI77,"SUBOQSIN -- ""DNK"" 2 ML.",,1,нет,Тбилиси,2 гр,0.0054,2958,1096,98,40,,,,True,,,,,,,,"SUBOQSIN -- ""DNK"" 2 ML."
16,18-04-2020 04:23:33,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0116,6285,2329,208,85,,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
17,18-04-2020 04:23:33,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0163,8799,3261,291,119,True,,,,,,,,,,,3g superskunk top class buds. Indica
18,18-04-2020 04:23:33,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0144,7764,2877,257,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,18-04-2020 04:23:33,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0136,7394,2740,245,100,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
20,18-04-2020 04:23:33,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0088,4807,1786,159,,,60,,,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
21,18-04-2020 04:23:33,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0273,14715,5453,487,199,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
22,18-04-2020 04:23:33,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0418,23662,8768,782,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,18-04-2020 04:23:33,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0404,22183,8220,734,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,18-04-2020 04:23:33,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,4,нет,Тбилиси,5 гр,0.023,12497,4631,413,169,,,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
25,18-04-2020 04:23:33,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0182,9909,3672,328,134,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
26,18-04-2020 04:23:33,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0241,12940,4795,428,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,18-04-2020 04:23:33,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0068,4067,1507,134,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,18-04-2020 04:23:33,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0136,7394,2740,245,100,,,,True,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
29,18-04-2020 04:23:33,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,7,нет,Тбилиси,10 гр,0.0284,15454,5727,511,209,,,,,,,,,,,,10 gr marijuana buds. -indica-
30,18-04-2020 04:23:33,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0543,29504,10933,976,399,,,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
31,18-04-2020 04:23:33,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,нет,Тбилиси,10 гр,0.0147,8011,2977,265,,,100,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
32,18-04-2020 04:23:33,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0522,29578,10960,978,400,,,,,,,,,,,,gashish evro 10g
33,18-04-2020 04:23:33,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1015,57455,21290,1900,777,,,,,,,,,,,,Gashish Evro 20gr
34,18-04-2020 04:23:33,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2474,147888,54800,4890,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,2,Тбилиси,0.25 гр,0.0048,2588,959,86,35,,,,True,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
36,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42,,,,True,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
37,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,384,34,14,,,,True,,,,,,,,25i-nbome 1 piece 2.5mg SALE SALE
