,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Дигоми,$,Saburtalo,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-05-2020 00:43:17,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,33,нет,Тбилиси,0.3 гр,0.0097,3221,234,7000,,,,,,,,,,,,,0.3 a-pvp white
1,1,18-05-2020 00:43:17,Tbilisi,9610a68a0a,suboxsone 0.4 g,,1,нет,Тбилиси,0.4 гр,0.0037,1074,98,2928,True,40.0,,,,,,,,,,,suboxsone 0.4 g
2,2,18-05-2020 00:43:17,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0056,1477,135,4026,,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,18-05-2020 00:43:17,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,3,нет,Тбилиси,0.5 гр,0.0027,725,66,1977,,27.0,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,18-05-2020 00:43:17,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0305,8028,731,21888,,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,18-05-2020 00:43:17,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,3,нет,Тбилиси,1 гр,0.0051,1343,122,3660,,50.0,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
6,6,18-05-2020 00:43:17,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.0051,1343,122,3660,,50.0,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
7,7,18-05-2020 00:43:17,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0048,1396,127,3807,,52.0,,,,,,,,,,,Lsd 25 buds 1 GR
8,8,18-05-2020 00:43:17,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 1g,True,2,нет,Тбилиси,1 гр,0.0046,1343,122,3660,,50.0,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 1g
9,9,18-05-2020 00:43:17,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.025,6713,612,18301,,250.0,,,,,,,,,,,Kokain HQ 1g.
10,10,18-05-2020 00:43:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0827,24165,2202,65885,,900.0,,,,,,,,,,,Metadon 1gr
11,11,18-05-2020 00:43:17,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0091,2390,218,6515,,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,12,18-05-2020 00:43:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.0101,2685,245,7321,,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,18-05-2020 00:43:17,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0071,1880,171,5124,,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,14,18-05-2020 00:43:17,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.009000000000000001,2390,218,6515,,89.0,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,18-05-2020 00:43:17,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0475,13157,1199,35871,,490.0,,,,,,,,,,,Kokain HQ 2g.
16,16,18-05-2020 00:43:17,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,6,нет,Тбилиси,2 гр,0.0089,2363,215,6442,,88.0,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
17,17,18-05-2020 00:43:17,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0121,3195,291,8711,,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,18-05-2020 00:43:17,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,6,нет,Тбилиси,3 гр,0.0131,3491,318,9517,,130.0,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,18-05-2020 00:43:17,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0121,3195,291,8711,,119.0,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
20,20,18-05-2020 00:43:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0107,2819,257,7687,,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,18-05-2020 00:43:17,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0121,3195,291,8711,,119.0,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
22,22,18-05-2020 00:43:17,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.012,3195,291,8711,,119.0,True,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
23,23,18-05-2020 00:43:17,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0179,4699,428,12811,,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
24,24,18-05-2020 00:43:17,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.0201,5343,487,14568,,199.0,,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,25,18-05-2020 00:43:17,Tbilisi,7cab566931,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0459,13425,1223,36603,,500.0,,,,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
26,26,18-05-2020 00:43:17,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1837,53700,4892,146411,,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,18-05-2020 00:43:17,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,3,Тбилиси,0.1 гр,0.0049,1305,119,3561,,,,,,,45.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
28,28,18-05-2020 00:43:17,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0098,2610,238,7122,,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
29,29,18-05-2020 00:43:17,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0081,2148,196,5856,,80.0,,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
30,30,18-05-2020 00:43:17,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0076,2014,183,5490,,75.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
31,31,18-05-2020 00:43:17,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0162,4296,391,11713,,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,32,18-05-2020 00:43:17,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0377,9908,903,27013,,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,18-05-2020 00:43:17,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0591,15546,1416,42386,,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,18-05-2020 00:43:52,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0404,10740,978,29282,,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,18-05-2020 00:43:52,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0141,3759,342,10249,,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
