,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,18-05-2020 05:42:07,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,33,нет,Тбилиси,0.3 гр,0.0095,3221,234,7000,,,,,,,,,,,,0.3 a-pvp white
1,18-05-2020 05:42:07,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0055,1477,135,4026,True,55,,,,,,,,,,HQ Euro Hashish 0.5 g
2,18-05-2020 05:42:07,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,3,нет,Тбилиси,0.5 гр,0.0027,725,66,1977,True,27,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,18-05-2020 05:42:07,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0301,8028,731,21888,,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,18-05-2020 05:42:07,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,3,нет,Тбилиси,1 гр,0.005,1343,122,3660,,50,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
5,18-05-2020 05:42:07,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.005,1343,122,3660,,50,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
6,18-05-2020 05:42:07,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0047,1396,127,3807,,52,,,,,,,,,,Lsd 25 buds 1 GR
7,18-05-2020 05:42:07,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 1g,True,2,нет,Тбилиси,1 гр,0.0045,1343,122,3660,,50,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 1g
8,18-05-2020 05:42:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0247,6713,612,18301,,250,,,,,,,,,,Kokain HQ 1g.
9,18-05-2020 05:42:07,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0816,24165,2202,65885,,900,,,,,,,,,,Metadon 1gr
10,18-05-2020 05:42:07,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.009,2390,218,6515,,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,18-05-2020 05:42:07,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,2 гр,0.01,2685,245,7321,,100,,,,,,,,,,2 G Hybrid Marijuana Buds
12,18-05-2020 05:42:07,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0071,1880,171,5124,,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,18-05-2020 05:42:07,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0089,2390,218,6515,True,89,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,18-05-2020 05:42:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0469,13157,1199,35871,,490,,,,,,,,,,Kokain HQ 2g.
