,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,18-06-2020 17:42:40,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0123,8534,3308,292,109,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,18-06-2020 17:42:40,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0103,6962,2690,238,,True,100,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,18-06-2020 17:42:40,Tbilisi,9Y6T,WeedShop,Ak47 0.5г,,5,нет,Тбилиси,0.5 гр,0.0032,2158,834,74,,True,31,,,,,,,,,,,Ak47 0.5g
3,18-06-2020 17:42:40,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,26,нет,Тбилиси,0.5 гр,0.0031,2089,807,71,,True,30,True,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,18-06-2020 17:42:40,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0135,9050,3497,310,,,130,,,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,18-06-2020 17:42:40,Tbilisi,9Y6T,WeedShop,Ak - 47 1г,,6,нет,Тбилиси,1 гр,0.0057,3829,1480,131,,True,55,,,,,,,,,,,Ak - 47 1g
6,18-06-2020 17:42:40,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0248,16639,6429,569,,,239,True,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,18-06-2020 17:42:40,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5918,2287,202,,,85,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,18-06-2020 17:42:40,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,22,нет,Тбилиси,3 гр,0.0071,4804,1856,164,,True,69,,,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
9,18-06-2020 17:42:40,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0144,9747,3766,333,,,140,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
10,18-06-2020 17:42:40,Tbilisi,1GT8,GREENGY,5g Georgian buds,,8,нет,Тбилиси,5 гр,0.0137,9677,3739,331,,True,139,,,,,,,,,,,5g Georgian buds
11,18-06-2020 17:42:40,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0224,16708,6456,571,,True,240,,,,,,,,,,,5g. marihuana shishki Critical
12,18-06-2020 17:42:40,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0182,12183,4708,417,,True,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,18-06-2020 17:42:40,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,5,нет,Тбилиси,5 гр,0.0139,10373,4008,355,,True,149,,,,,,,,,,,5g. GEO Marihuana boshki
14,18-06-2020 17:42:40,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0102,6892,2663,236,,True,99,,,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
15,18-06-2020 17:42:40,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0246,16639,6429,569,,True,239,,,,,,,,,,,10 gr georgian weed. Package on magnet
16,18-06-2020 17:42:40,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0205,13854,5353,474,,True,199,,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
17,18-06-2020 17:42:40,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,10 гр,0.0079,5918,2287,202,,True,85,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
18,18-06-2020 17:42:40,Tbilisi,LGRP8,Walker12,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4525,1749,155,,,65,,,,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
19,18-06-2020 17:42:40,Tbilisi,2LY77,SveetWeed,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0173,12879,4977,441,,True,185,,,,,,,,,,,11 - GRAMM BEASTWEED
20,18-06-2020 17:42:40,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0467,34809,13450,1191,,True,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
21,18-06-2020 17:42:40,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,1,нет,Тбилиси,50 гр,0.0072,4873,1883,167,,True,70,,,,,,,,,,,GABAGAMA 50 SHTUK
22,18-06-2020 17:42:40,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2075,139236,53800,4762,,True,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,18-06-2020 17:42:40,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.036,24366,9415,833,,True,350,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
24,18-06-2020 17:42:40,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0218,14620,5649,500,,True,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
25,18-06-2020 17:42:40,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0383,25689,9926,879,,True,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,18-06-2020 17:42:40,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0601,40309,15575,1379,,True,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,18-06-2020 17:42:40,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0411,27847,10760,952,,True,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,18-06-2020 17:42:40,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0565,38290,14795,1310,,True,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,18-06-2020 17:42:41,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,18797,7263,643,,True,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,18-06-2020 17:42:41,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0288,19493,7532,667,,True,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,18-06-2020 17:42:41,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19145,7398,655,,True,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
32,18-06-2020 17:42:41,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16708,6456,571,,True,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
33,18-06-2020 17:42:41,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0288,19493,7532,667,,True,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,18-06-2020 17:43:36,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18797,7263,643,,True,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
35,18-06-2020 17:43:36,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15246,5891,521,,True,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
36,18-06-2020 17:43:36,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18797,7263,643,,True,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,18-06-2020 17:43:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6504,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
38,18-06-2020 17:43:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2804,208854,80700,7144,,,3000,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,18-06-2020 17:43:36,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0996,66764,25797,2284,,True,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
40,18-06-2020 17:43:36,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0197,13227,5111,452,,True,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,18-06-2020 17:43:36,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0508,34043,13154,1164,,True,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
