,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-07-2020 17:06:15,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
1,1,18-07-2020 17:06:15,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,6,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
2,2,18-07-2020 17:06:15,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,9,нет,Тбилиси,1 гр,0.0062,4231,1631,142,59.0,True,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,18-07-2020 17:06:15,Tbilisi,21de5577be,1.0 gr. Magic Kush (INDICA),,6,нет,Тбилиси,1 гр,0.0055,3729,1438,125,52.0,,True,,,,,,,,1.0 gr. Magic Kush (INDICA)
4,4,18-07-2020 17:06:15,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,3,нет,Тбилиси,1 гр,0.0053,3586,1383,120,50.0,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
5,5,18-07-2020 17:06:15,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0063,4303,1659,144,60.0,True,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
6,6,18-07-2020 17:06:15,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,3,нет,Тбилиси,1 гр,0.0073,4901,1887,164,,True,,60.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
7,7,18-07-2020 17:06:15,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0104,7100,2737,238,99.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
8,8,18-07-2020 17:06:15,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0115,7817,3014,262,109.0,,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,18-07-2020 17:06:15,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,2 гр,0.0127,8606,3318,288,120.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,18-07-2020 17:06:15,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0116,7889,3042,264,110.0,True,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
11,11,18-07-2020 17:06:15,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0127,8606,3318,288,120.0,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,12,18-07-2020 17:06:15,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0105,7171,2765,240,100.0,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
13,13,18-07-2020 17:06:15,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0105,7171,2765,240,100.0,True,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
14,14,18-07-2020 17:06:15,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,3,нет,Тбилиси,2 гр,0.0105,7889,3042,264,110.0,,,,True,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
15,15,18-07-2020 17:06:15,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,1,нет,Тбилиси,2 гр,0.0084,6311,2433,211,88.0,True,,,,,,,,,Northern Lights Regular [budsonly] 2gram
16,16,18-07-2020 17:06:15,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,3 гр,0.0059,3944,1521,132,55.0,True,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
17,17,18-07-2020 17:06:15,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0137,9323,3595,312,130.0,,True,,,,,,,,Badazz Kush 3G VHQ 25% THC
18,18,18-07-2020 17:06:15,Tbilisi,e771f4c371,HONEY (B) 3G Buds THC 27 % From Europe Buds,,1,нет,Тбилиси,3 гр,0.0158,10757,4148,360,150.0,True,,,,,,,,,HONEY (B) 3G Buds THC 27 % From Europe Buds
19,19,18-07-2020 17:06:15,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,True,6,нет,Тбилиси,3 гр,0.0036,2438,940,82,34.0,,,,,,,,,,Marijuana Super Skunk leaves 3g plan
20,20,18-07-2020 17:06:15,Tbilisi,e771f4c371,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE,,2,нет,Тбилиси,4.2 гр,0.02,13626,5254,456,190.0,True,,,,,,,,,4.2G Delta Kush 26%THC *VHQ* FROM EUROPE
21,21,18-07-2020 17:06:15,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0274,18646,7189,624,260.0,True,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
22,22,18-07-2020 17:06:15,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0295,20080,7742,672,280.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
23,23,18-07-2020 17:06:15,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0285,19363,7466,648,270.0,True,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
24,24,18-07-2020 17:06:15,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0187,13984,5392,468,195.0,True,,,,,,,,,5g. marihuana shishki Critical
25,25,18-07-2020 17:06:15,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.046,32271,12443,1080,450.0,True,,,,,,,,,Gashish Evro 10gr
26,26,18-07-2020 17:06:15,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0316,23666,9125,792,330.0,True,,,,,,,,,12g. marihuana shishki Critical
27,27,18-07-2020 17:06:15,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2128,143428,55300,4799,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,18-07-2020 17:06:15,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++,,нет,15,Тбилиси,0.25 гр,0.0042,2869,1106,96,40.0,True,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++
29,29,18-07-2020 17:06:15,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,нет,1,Тбилиси,0.5 гр,0.0221,15060,5807,504,210.0,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
30,30,18-07-2020 17:06:15,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0376,25321,9750,847,,True,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
31,31,18-07-2020 17:06:15,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4661,1797,156,65.0,True,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
32,32,18-07-2020 17:06:15,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0264,17928,6913,600,250.0,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
