,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-02-2020 01:47:41,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,8,нет,Тбилиси,0.15 гр,0.0113,8290,3186,286,130,,,,,,,,,,,Metadon 0.15gr
1,19-02-2020 01:47:41,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0057,3826,1471,132,60,,,,,,,,,,,Iranian Sirec 0.25g.
2,19-02-2020 01:47:41,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0157,11479,4412,397,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,19-02-2020 01:47:41,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0201,13392,5147,463,210,True,,,,,,,,,,"methadone 0,29 gr"
4,19-02-2020 01:47:41,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0156,12116,4657,419,190,,,,,,,,,,,Metadon 0.30gr
5,19-02-2020 01:47:41,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,8,нет,Тбилиси,0.33 гр,0.0055,3826,1471,132,60,,,,,,,,,,,"A PVP 0,33 VHQ"
6,19-02-2020 01:47:41,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,9,нет,Тбилиси,0.5 гр,0.0067,4400,1691,152,69,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
7,19-02-2020 01:47:41,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,6,нет,Тбилиси,0.5 гр,0.0105,6951,2672,240,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
8,19-02-2020 01:47:41,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,5,нет,Тбилиси,0.5 гр,0.0028,1849,711,64,29,True,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
9,19-02-2020 01:47:41,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,8,нет,Тбилиси,0.5 гр,0.0058,3826,1471,132,60,,,,,,,,,,,Ketamine 0.5g
10,19-02-2020 01:47:41,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0252,18493,7108,639,290,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,19-02-2020 01:47:41,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0096,6313,2426,218,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,19-02-2020 01:47:41,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,11,нет,Тбилиси,0.5 гр,0.0029,1913,735,66,30,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,19-02-2020 01:47:41,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0096,6313,2426,218,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
14,19-02-2020 01:47:41,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0261,19131,7353,661,300,,,,,,,,,,,Metadon 0.6gr
15,19-02-2020 01:47:41,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,23,нет,Тбилиси,1 гр,0.0039,2870,1103,99,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,19-02-2020 01:47:41,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0115,7652,2941,264,120,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
17,19-02-2020 01:47:41,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,3,нет,Тбилиси,1 гр,0.0086,5739,2206,198,90,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
18,19-02-2020 01:47:41,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,5,нет,Тбилиси,1 гр,0.0043,2870,1103,99,45,True,True,,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
19,19-02-2020 01:47:41,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,8,нет,Тбилиси,1 гр,0.0081,5420,2083,187,85,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
20,19-02-2020 01:47:41,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,23,нет,Тбилиси,1 гр,0.0035,2359,907,82,37,True,,,,,,,,,,1G -- AK-47 -> Sativa
21,19-02-2020 01:47:41,Tbilisi,OX85,amnesia420,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,3,нет,Тбилиси,1 гр,0.0034,2487,956,86,39,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
22,19-02-2020 01:47:41,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,10,нет,Тбилиси,1 гр,0.0105,6951,2672,240,109,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
23,19-02-2020 01:47:41,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0088,5873,2261,203,,,,85,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
24,19-02-2020 01:47:41,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0081,5420,2083,187,85,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
25,19-02-2020 01:47:41,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0085,5873,2261,203,,,,85,,,,,,,,1gr mdma (skidka v bitkoin 5%)
26,19-02-2020 01:47:41,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0192,12626,4853,436,198,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
27,19-02-2020 01:47:41,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,7,нет,Тбилиси,1 гр,0.0213,14029,5392,485,220,,,,,,,,,,,"Cocaine, 1g"
28,19-02-2020 01:47:41,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 1G (BTC sale 10%)",,1,нет,Тбилиси,1 гр,0.0043,3125,1201,108,49,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 1G (BTC sale 10%)"
29,19-02-2020 01:47:41,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,5,нет,Тбилиси,1 гр,0.0061,4491,1729,155,,,,65,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
30,19-02-2020 01:47:41,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g,True,13,нет,Тбилиси,1 гр,0.0073,4847,1863,167,76,,,,,,,,,,,Hashish Ice-o-lator 1g
31,19-02-2020 01:48:11,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g,True,13,нет,Тбилиси,1 гр,0.0073,4847,1863,167,76,,,,,,,,,,,Hashish Ice-o-lator 1g
32,19-02-2020 01:48:11,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0097,6377,2451,220,100,,,,,,,,,,,Ketamine 1g
33,19-02-2020 01:48:11,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0183,12053,4632,416,189,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
34,19-02-2020 01:48:11,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0183,12690,4877,438,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
35,19-02-2020 01:48:11,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0161,11160,4289,386,175,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
36,19-02-2020 01:48:11,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0179,12053,4632,416,189,,,,,,,,,,,Kokain HQ 1g.
37,19-02-2020 01:48:11,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0171,11415,4387,394,179,,,,True,,,,,,,Kokain KOLUMBIA 1g
38,19-02-2020 01:48:11,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0392,28696,11030,991,450,,,,,,,,,,,Metadon 1gr
39,19-02-2020 01:48:11,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0383,25508,9804,881,400,,,,,,,,,,,"Metadon, 1gr"
40,19-02-2020 01:48:11,Tbilisi,LYHBG,Playboy,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,2 гр,0.0076,5038,1936,174,79,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
41,19-02-2020 01:48:11,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,2 гр,0.0074,5420,2083,187,85,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
42,19-02-2020 01:48:11,Tbilisi,0WE,Khachapuri,"2 ecstasy New Pills! 💊""PARTY ROCK""💊",True,2,нет,Тбилиси,2 гр,0.007,4836,1862,167,,,,70,,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊"
43,19-02-2020 01:48:11,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,3,нет,Тбилиси,2 гр,0.007,4836,1862,167,,,,70,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
44,19-02-2020 01:48:11,Tbilisi,7R3WM,RastaShop,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,2 гр,0.0079,5229,2010,181,82,True,True,,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
45,19-02-2020 01:48:11,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,13,нет,Тбилиси,2 гр,0.0067,4528,1740,156,71,True,,,,,,,,,,2G -- AK-47 -> Sativa
46,19-02-2020 01:48:11,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0076,5038,1936,174,79,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
47,19-02-2020 01:48:11,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0348,22957,8824,793,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
48,19-02-2020 01:48:11,Tbilisi,0WE,Khachapuri,2гр ГАШИШ,True,1,нет,Тбилиси,2 гр,0.0101,7015,2696,242,110,,,,,,,,,,,2gr GAShISh
49,19-02-2020 01:48:11,Tbilisi,P285,Trippyshop,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0358,23595,9069,815,370,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
50,19-02-2020 01:48:11,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0333,22638,8701,782,355,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
51,19-02-2020 01:48:11,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.0077,5612,2157,194,88,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
52,19-02-2020 01:48:11,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0096,6377,2451,220,100,True,,,,,,,,,,KALI MIST 2G
53,19-02-2020 01:48:11,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0174,11479,4412,397,180,,,,,,,,,,,Ketamine 2 g
54,19-02-2020 01:48:11,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0068,4464,1716,154,70,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
55,19-02-2020 01:48:11,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0164,11160,4289,386,175,,,,,True,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
56,19-02-2020 01:48:11,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,4,нет,Тбилиси,2 гр,0.0192,14029,5392,485,220,,,,,,,,,,,NZT-52 mind storm limited 2g muka
57,19-02-2020 01:48:11,Tbilisi,UJP9,420Inc,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.008,5420,2083,187,85,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
58,19-02-2020 01:48:11,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.034,24870,9559,859,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
59,19-02-2020 01:48:11,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0334,22256,8554,769,349,,,,True,,,,,,,Kokain KOLUMBIA 2g
60,19-02-2020 01:48:11,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,3 гр,0.0104,7652,2941,264,120,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
61,19-02-2020 01:48:11,Tbilisi,OX85,amnesia420,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0096,7015,2696,242,110,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
62,19-02-2020 01:48:11,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0235,15624,6005,540,245,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
63,19-02-2020 01:48:11,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0102,6696,2574,231,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
64,19-02-2020 01:48:11,Tbilisi,9VLN,AlienShop,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.0096,6313,2426,218,99,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
65,19-02-2020 01:48:11,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.027,19769,7598,683,310,,,,,,,,,,,NZT-52 mind storm limited 3g muka
