,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,19-02-2020 06:19:25,Tbilisi,61df6a1c90,Метадон 0.15гр,True,8,нет,Тбилиси,0.15 гр,0.0114,8290,3186,286,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,19-02-2020 06:19:25,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0058,3826,1471,132,60.0,,,,,,,,,,,Iranian Sirec 0.25g.
2,2,19-02-2020 06:19:25,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0157,11479,4412,397,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,19-02-2020 06:19:25,Tbilisi,32e645c201,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0202,13392,5147,463,210.0,True,,,,,,,,,,"methadone 0,29 gr"
4,4,19-02-2020 06:19:25,Tbilisi,61df6a1c90,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0157,12116,4657,419,190.0,,,,,,,,,,,Metadon 0.30gr
5,5,19-02-2020 06:19:25,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,7,нет,Тбилиси,0.33 гр,0.0055,3826,1471,132,60.0,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,19-02-2020 06:19:25,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,9,нет,Тбилиси,0.5 гр,0.0067,4400,1691,152,69.0,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
7,7,19-02-2020 06:19:25,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0106,6951,2672,240,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
8,8,19-02-2020 06:19:25,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0028,1849,711,64,29.0,,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
9,9,19-02-2020 06:19:25,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0058,3826,1471,132,60.0,,,,,,,,,,,Ketamine 0.5g
