,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-03-2020 12:25:26,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,13,нет,Тбилиси,0.25 гр,0.0306,14670,5377,464,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,19-03-2020 12:25:26,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0146,6949,2547,220,90,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,19-03-2020 12:25:26,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,6,нет,Тбилиси,0.25 гр,0.0309,14670,5377,464,190,True,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,19-03-2020 12:25:26,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,17,нет,Тбилиси,0.5 гр,0.0117,5791,2123,183,75,,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,19-03-2020 12:25:26,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0081,3861,1415,122,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,19-03-2020 12:25:26,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,7,нет,Тбилиси,1 гр,0.0195,9266,3396,293,120,True,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
6,19-03-2020 12:25:26,Tbilisi,1GT8,GREENGY,1g Cocaine (SOUTH AMERICA),,1,нет,Тбилиси,1 гр,0.0312,15443,5660,488,200,True,,,,,,,,,,,1g Cocaine (SOUTH AMERICA)
7,19-03-2020 12:25:26,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,5,нет,Тбилиси,1 гр,0.0187,9266,3396,293,120,True,,,,,,,,,,,1g MDMA (IMPORTED)
8,19-03-2020 12:25:26,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.013,6177,2264,195,80,True,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,19-03-2020 12:25:26,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,5,нет,Тбилиси,1 гр,0.0075,3552,1302,112,46,True,,,,,,,,,,,Amsterdam weed sativa 1gr
