,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,19-04-2020 09:13:18,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0047,2588,959,86,35.0,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,19-04-2020 09:13:18,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0184,9982,3699,330,135.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,19-04-2020 09:13:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0182,9982,3699,330,135.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,19-04-2020 09:13:18,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0187,10352,3836,342,140.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,19-04-2020 09:13:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0067,4067,1507,134,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,19-04-2020 09:13:18,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,5,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,19-04-2020 09:13:18,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,10,нет,Тбилиси,1 гр,0.0077,4215,1562,139,57.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,19-04-2020 09:13:18,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,10,нет,Тбилиси,1 гр,0.0077,4215,1562,139,57.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
8,8,19-04-2020 09:13:18,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,8,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,19-04-2020 09:13:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.032,17747,6576,587,240.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,19-04-2020 09:13:18,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0267,14789,5480,489,200.0,,,,,,,,,,,Kokain HQ 1g.
11,11,19-04-2020 09:13:18,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1102,66550,24660,2201,900.0,,,,,,,,,,,Metadon 1gr
12,12,19-04-2020 09:13:18,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.0024,1479,548,49,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
