,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,19-05-2020 09:17:24,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,17,нет,Тбилиси,0.3 гр,0.0099,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,19-05-2020 09:17:24,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0031,803,73,2189,30,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,19-05-2020 09:17:24,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,18,нет,Тбилиси,0.5 гр,0.0166,4253,387,11604,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,19-05-2020 09:17:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.014,3611,329,9852,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,19-05-2020 09:17:24,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0057,1471,134,4014,55,True,,,,,,,,,HQ Euro Hashish 0.5 g
5,19-05-2020 09:17:24,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0028,722,66,1970,27,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
6,19-05-2020 09:17:24,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0136,3478,317,9487,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,19-05-2020 09:17:24,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0312,7998,729,21821,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,19-05-2020 09:17:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0243,6286,573,17150,235,,,,,,,,,,Cocaine Pure VHQ 1g
9,19-05-2020 09:17:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0246,6420,585,17515,240,,,,,,,,,,VHQ BEST Cocaine 1g.
10,19-05-2020 09:17:24,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0845,24075,2193,65682,900,,,,,,,,,,Metadon 1gr
11,19-05-2020 09:17:24,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0114,2916,266,7955,109,True,,,,,,,,,✨ 1g. MDMA ✨
12,19-05-2020 09:17:24,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0093,2381,217,6495,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
13,19-05-2020 09:17:24,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,1,нет,Тбилиси,2 гр,0.0089,2274,207,6203,85,,True,,,,,,,,2g super Skunk top class buds.
14,19-05-2020 09:17:24,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0073,1873,171,5109,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,19-05-2020 09:17:24,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0092,2381,217,6495,89,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
16,19-05-2020 09:17:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0491,12840,1170,35030,480,,,,,,,,,,VHQ BEST Cocaine 2g.
17,19-05-2020 09:17:24,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0091,2354,214,6422,88,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
18,19-05-2020 09:17:24,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0124,3183,290,8685,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
19,19-05-2020 09:17:24,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.0134,3478,317,9487,130,,,,,,,,,,3 G Hybrid Marijuana Big Buds
20,19-05-2020 09:17:24,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0124,3183,290,8685,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
21,19-05-2020 09:17:24,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,2,нет,Тбилиси,3 гр,0.0124,3183,290,8685,119,,True,,,,,,,,3g superskunk top class buds.
22,19-05-2020 09:17:24,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.011,2809,256,7663,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
