,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,19-06-2020 11:44:23,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0125,8534,3297,292,109.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,19-06-2020 11:44:23,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0104,6962,2690,238,,True,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,19-06-2020 11:44:23,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0176,11765,4546,403,,,169.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
3,3,19-06-2020 11:44:23,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,7,нет,Тбилиси,0.5 гр,0.0031,2089,807,71,,True,30.0,,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,19-06-2020 11:44:23,Tbilisi,cb721d4bca,1 г марихуана шишки VHQ индика THC 20%,,7,нет,Тбилиси,1 гр,0.0041,2715,1049,93,,,39.0,,,True,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
5,5,19-06-2020 11:44:23,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,,1,нет,Тбилиси,1 гр,0.0041,2715,1049,93,,True,39.0,,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
6,6,19-06-2020 11:44:23,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0246,16499,6375,564,,True,237.0,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,19-06-2020 11:44:23,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0251,16639,6429,569,,,239.0,True,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,19-06-2020 11:44:23,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,8,нет,Тбилиси,2 гр,0.0124,8285,3201,283,,True,119.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,19-06-2020 11:44:23,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,2 гр,0.0125,8354,3228,286,,,120.0,,,,True,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,19-06-2020 11:44:23,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5918,2287,202,,,85.0,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,11,19-06-2020 11:44:23,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.0072,4804,1856,164,,,69.0,,True,True,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
12,12,19-06-2020 11:44:23,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,4 гр,0.0145,9747,3766,333,,,140.0,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
13,13,19-06-2020 11:44:23,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0227,16708,6456,572,,True,240.0,,,,,,,,,,,5g. marihuana shishki Critical
14,14,19-06-2020 11:44:23,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0184,12183,4708,417,,True,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
