,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Saburtalo,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,19-06-2020 16:24:49,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0103,6957,2685,238,100.0,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,19-06-2020 16:24:49,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0174,11758,4538,403,169.0,True,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
2,2,19-06-2020 16:24:49,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,2,нет,Тбилиси,0.5 гр,0.0031,2087,806,71,30.0,,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,19-06-2020 16:24:49,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.003,2018,779,69,29.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,4,19-06-2020 16:24:49,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,9,нет,Тбилиси,1 гр,0.0062,4174,1611,143,60.0,,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,19-06-2020 16:24:49,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0248,16628,6417,569,239.0,,,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,19-06-2020 16:24:49,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,2 гр,0.0122,8279,3195,283,119.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,19-06-2020 16:24:49,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0124,8349,3222,286,120.0,,,,True,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,19-06-2020 16:24:49,Tbilisi,4a91350669,2 шишки Girl Scout Cookies тгк thc 28%,,7,нет,Тбилиси,2 гр,0.0124,8349,3222,286,120.0,,,True,,,,,,,,,2 shishki Girl Scout Cookies tgk thc 28%
9,9,19-06-2020 16:24:49,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5914,2282,202,85.0,,,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
