,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Дигоми,Saburtalo,Vake,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,19-06-2020 21:16:13,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0034,2296,886,79,33.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,19-06-2020 21:16:13,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0174,11758,4538,403,169.0,True,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
2,2,19-06-2020 21:16:13,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0031,2087,806,71,30.0,,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,19-06-2020 21:16:13,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0135,9044,3491,310,130.0,True,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,19-06-2020 21:16:13,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4105,1584,141,59.0,,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,19-06-2020 21:16:13,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0249,16628,6417,569,239.0,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,19-06-2020 21:16:13,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0123,8279,3195,283,119.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,19-06-2020 21:16:13,Tbilisi,4a91350669,2 шишки Girl Scout Cookies тгк thc 28%,,6,нет,Тбилиси,2 гр,0.0102,6888,2658,236,99.0,,,True,,,,,,,,,2 shishki Girl Scout Cookies tgk thc 28%
8,8,19-06-2020 21:16:13,Tbilisi,0dec0e1c48,2gr HYBRID buds,,8,нет,Тбилиси,2 гр,0.0091,6122,2363,210,88.0,,True,,,,,,,,,,2gr HYBRID buds
9,9,19-06-2020 21:16:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0514,34717,13398,1188,499.0,,True,,,,,,,,,,Cocaine Pure VHQ 2 g
10,10,19-06-2020 21:16:13,Tbilisi,54915c4374,марки н-боом 2 шт.,,3,нет,Тбилиси,2 гр,0.0036,2435,940,83,35.0,,,,True,,,,,,,,marki n-boom 2 sht.
11,11,19-06-2020 21:16:13,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0088,5914,2282,202,85.0,,,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,12,19-06-2020 21:16:13,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,6,нет,Тбилиси,3 гр,0.009000000000000001,6053,2336,207,87.0,,True,,,,,,,,,,3 gr georgian weed. Package on magnet
13,13,19-06-2020 21:16:13,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.0071,4801,1853,164,69.0,,True,,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
14,14,19-06-2020 21:16:13,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0144,9740,3759,333,140.0,,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
15,15,19-06-2020 21:16:13,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0225,16697,6444,572,240.0,,True,,,,,,,,,,5g. marihuana shishki Critical
16,16,19-06-2020 21:16:13,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0182,12175,4699,417,175.0,,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,19-06-2020 21:16:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1181,81400,31415,2787,1170.0,,True,,,,,,,,,,VHQ BEST Cocaine 5g.
18,18,19-06-2020 21:16:13,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,5 гр,0.0102,6888,2658,236,99.0,,True,,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
19,19,19-06-2020 21:16:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,7,нет,Тбилиси,5 гр,0.0052,3826,1477,131,55.0,,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
20,20,19-06-2020 21:16:13,Tbilisi,54915c4374,марки н-боом 5шт.,,4,10,Тбилиси,5 гр,0.0062,4174,1611,143,60.0,,True,,True,,,,,,,,marki n-boom 5sht.
21,21,19-06-2020 21:16:13,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,1,нет,Тбилиси,10 гр,0.0014,974,376,33,14.0,,True,,,,,,,,,,GABAGAMA 10 shtuk
22,22,19-06-2020 21:16:13,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4522,1745,155,65.0,,,,,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
23,23,19-06-2020 21:16:13,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,,3,нет,Тбилиси,11 гр,0.0173,12871,4967,441,185.0,,True,,,,,,,,,,11 - GRAMM BEASTWEED
24,24,19-06-2020 21:16:13,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0468,34786,13425,1191,500.0,,True,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
25,25,19-06-2020 21:16:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2079,139145,53700,4763,2000.0,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,19-06-2020 21:16:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,5,Тбилиси,0.5 гр,0.0093,6262,2417,214,90.0,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
27,27,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,9,Тбилиси,1 гр,0.0046,3131,1208,107,45.0,,True,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
28,28,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,10,Тбилиси,2 гр,0.0093,6262,2417,214,90.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
29,29,19-06-2020 21:16:13,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0384,25672,9908,879,369.0,,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,19-06-2020 21:16:13,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,10,Тбилиси,2.2 гр,0.0087,5850,2261,201,,,True,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
31,31,19-06-2020 21:16:13,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,10,Тбилиси,3 гр,0.0124,8349,3222,286,120.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
32,32,19-06-2020 21:16:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0602,40282,15546,1379,579.0,,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,33,19-06-2020 21:16:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27829,10740,953,400.0,,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,19-06-2020 21:16:54,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0289,19480,7518,667,280.0,,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,35,19-06-2020 21:16:54,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19132,7384,655,275.0,,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,36,19-06-2020 21:16:54,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16697,6444,572,240.0,,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,37,19-06-2020 21:16:54,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0289,19480,7518,667,280.0,,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,19-06-2020 21:16:54,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18785,7250,643,270.0,,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,39,19-06-2020 21:16:54,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15236,5880,522,219.0,,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,40,19-06-2020 21:16:54,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,10,Тбилиси,5 гр,0.018000000000000002,12175,4699,417,175.0,,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
41,41,19-06-2020 21:16:54,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18785,7250,643,270.0,,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,19-06-2020 21:16:54,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6513,,,True,,,,,,,,,,reagent 25i nbome. 5gr
43,43,19-06-2020 21:16:54,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.281,208718,80550,7145,3000.0,,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,19-06-2020 21:16:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0998,66720,25749,2284,959.0,,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,45,19-06-2020 21:16:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0198,13219,5102,453,190.0,,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,19-06-2020 21:16:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0509,34021,13130,1165,489.0,,True,,,,,,,,,,💘✨5g. MDMA ✨💘
