,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-03-2020 17:26:28,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.25 гр,0.0257,14828,5377,483,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,20-03-2020 17:26:28,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0123,7024,2547,229,90,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,20-03-2020 17:26:28,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,8,5,Тбилиси,0.27 гр,0.0313,17716,6424,577,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
3,20-03-2020 17:26:28,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",,2,нет,Тбилиси,0.33 гр,0.0067,4208,1525,138,,True,50,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
4,20-03-2020 17:26:28,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,4,нет,Тбилиси,0.5 гр,0.0098,5853,2123,191,75,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
5,20-03-2020 17:26:28,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0068,3902,1415,127,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,20-03-2020 17:26:28,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,3,нет,Тбилиси,1 гр,0.0164,9365,3396,305,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,20-03-2020 17:26:28,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,True,22,нет,Тбилиси,1 гр,0.0044,2575,934,84,33,,,,,,,,,,,1G ---> ONLY BUDS
8,20-03-2020 17:26:28,Tbilisi,1GT8,GREENGY,1g Cocaine (SOUTH AMERICA),,2,нет,Тбилиси,1 гр,0.0262,15609,5660,508,200,True,,,,,,,,,,1g Cocaine (SOUTH AMERICA)
9,20-03-2020 17:26:28,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),,6,нет,Тбилиси,1 гр,0.0157,9365,3396,305,120,True,,,,,,,,,,1g MDMA (IMPORTED)
