,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,20-04-2020 12:56:59,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,True,1,нет,Тбилиси,0.25 гр,0.0047,2588,959,86,35,,,,,,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
1,20-04-2020 12:56:59,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,,10,нет,Тбилиси,0.5 гр,0.0184,9982,3699,330,135,True,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,20-04-2020 12:56:59,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55,,True,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
3,20-04-2020 12:56:59,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,8,нет,Тбилиси,1 гр,0.0077,4215,1562,139,57,True,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,20-04-2020 12:56:59,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,7,нет,Тбилиси,1 гр,0.0077,4215,1562,139,57,True,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
5,20-04-2020 12:56:59,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,7,нет,Тбилиси,1 гр,0.0074,4067,1507,134,55,True,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
6,20-04-2020 12:56:59,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0293,16268,6028,538,220,True,,,,,,,,,,,,Kokain HQ 1g.
7,20-04-2020 12:56:59,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1102,66550,24660,2201,900,True,,,,,,,,,,,,Metadon 1gr
8,20-04-2020 12:56:59,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,5,нет,Тбилиси,2 гр,0.0122,7394,2740,245,100,True,,,,,,,,,,,,2 G Hybrid Marijuana Buds
9,20-04-2020 12:56:59,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0115,6285,2329,208,85,,,True,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
10,20-04-2020 12:56:59,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,3,нет,Тбилиси,2 гр,0.0108,5842,2165,193,79,True,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,20-04-2020 12:56:59,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,,1,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
12,20-04-2020 12:56:59,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,,2,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
13,20-04-2020 12:56:59,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,,1,нет,Тбилиси,2 гр,0.0569,32535,12056,1076,440,True,,,,,,,,,,,,Kokain HQ 2g.
14,20-04-2020 12:56:59,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0115,6285,2329,208,85,,,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
15,20-04-2020 12:56:59,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,8,нет,Тбилиси,3 гр,0.0162,8799,3261,291,119,,,,,True,True,,,,,,,3g superskunk top class buds. Indica
16,20-04-2020 12:56:59,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA Варкетили,,1,нет,Тбилиси,3 гр,0.0143,7764,2877,257,105,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA Varketili
17,20-04-2020 12:56:59,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0143,7764,2877,257,105,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
18,20-04-2020 12:56:59,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 3g.,,1,нет,Тбилиси,3 гр,0.095,52131,19317,1724,705,True,,,,,,,,,,,,Cocaine Pure VHQ 3g.
19,20-04-2020 12:56:59,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 3g.,,1,нет,Тбилиси,3 гр,0.0901,51021,18906,1687,690,True,,,,,,,,,,,,VHQ BEST Cocaine 3g.
20,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),,3,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
21,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Авлабври),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
22,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Темка),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (Temka)
23,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,True,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
24,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,4,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55,,,,,,True,,,,,,,N booom 4 shtuki (gldani)
25,20-04-2020 12:56:59,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0271,14715,5453,487,199,True,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,20-04-2020 12:56:59,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0414,23662,8768,782,320,True,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,20-04-2020 12:56:59,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.04,22183,8220,734,300,True,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,20-04-2020 12:56:59,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0228,12497,4631,413,169,,,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
29,20-04-2020 12:56:59,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),,4,нет,Тбилиси,5 гр,0.0181,9909,3672,328,134,True,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
30,20-04-2020 12:56:59,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,5,нет,Тбилиси,10 гр,0.0135,7394,2740,245,100,True,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
31,20-04-2020 12:56:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0517,29578,10960,978,400,True,,,,,,,,,,,,gashish evro 10g
32,20-04-2020 12:56:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1004,57455,21290,1900,777,True,,,,,,,,,,,,Gashish Evro 20gr
33,20-04-2020 12:56:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2449,147888,54800,4890,2000,True,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,20-04-2020 12:56:59,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42,,,,,,,True,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
35,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0502,27285,10111,902,369,True,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0802,43627,16166,1443,590,True,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,20-04-2020 12:57:50,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0539,29578,10960,978,400,True,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,20-04-2020 12:57:50,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,3,Тбилиси,5 гр,0.0215,11831,4384,391,160,True,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
39,20-04-2020 12:57:50,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0741,40669,15070,1345,550,True,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,20-04-2020 12:57:50,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0229,12571,4658,416,170,True,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,20-04-2020 12:57:50,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0268,14715,5453,487,199,True,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,20-04-2020 12:57:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0268,14715,5453,487,199,True,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,20-04-2020 12:57:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0268,16194,6001,535,219,True,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,20-04-2020 12:57:50,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0268,14715,5453,487,199,True,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,20-04-2020 12:57:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3146,190000,87429,6279,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
46,20-04-2020 12:57:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3673,221832,82200,7335,3000,,True,,,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1182,64257,23811,2125,869,True,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189,True,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
49,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0258,14049,5206,465,190,True,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0665,36159,13399,1196,489,True,,,,,,,,,,,,💘✨5g. MDMA ✨💘
51,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189,True,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,20-04-2020 12:57:50,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1212,66550,24660,2201,900,True,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,20-04-2020 12:57:50,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0943,51761,19180,1712,700,True,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,20-04-2020 12:57:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0431,23662,8768,782,320,True,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,20-04-2020 12:57:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1077,59155,21920,1956,800,True,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,20-04-2020 12:57:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2996,164526,60965,5440,2225,True,,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1971,107145,39703,3543,1449,True,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0502,27285,10111,902,369,True,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0407,22109,8193,731,299,True,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,20-04-2020 12:57:50,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,нет,1,Тбилиси,20 гр,0.0545,29947,11097,990,405,True,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
61,20-04-2020 12:57:50,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0815,44293,16413,1465,599,True,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,20-04-2020 12:57:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1481,81339,30140,2690,1100,True,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
63,20-04-2020 12:57:50,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3232,177466,65760,5868,2400,True,,,,,,,,,,,,100 gr marijuana buds
64,20-04-2020 12:57:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2693,147888,54800,4890,2000,True,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,20-04-2020 12:57:50,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.272,147888,54800,4890,2000,True,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
66,20-04-2020 12:57:50,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3367,184860,68500,6113,2500,True,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,20-04-2020 12:57:50,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7945,436270,161660,14426,5900,True,,,,,,,,,,,,180 gr marihuana persoalno
68,20-04-2020 12:58:47,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4242,232924,86310,7702,3150,True,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
