,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Varketili,Didube,Gldani,Saburtalo,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,20-04-2020 22:00:44,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0189,10080,3699,330,135,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,20-04-2020 22:00:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0187,10080,3699,330,135,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,20-04-2020 22:00:44,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0192,10453,3836,342,140,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,20-04-2020 22:00:44,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0079,4256,1562,139,57,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,20-04-2020 22:00:44,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0079,4256,1562,139,57,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
5,20-04-2020 22:00:44,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,4,нет,Тбилиси,1 гр,0.0076,4107,1507,134,55,True,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
6,20-04-2020 22:00:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0325,17546,6439,575,235,,,,,,,,,,,Cocaine Pure VHQ 1g
7,20-04-2020 22:00:44,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0329,17920,6576,587,240,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,20-04-2020 22:00:44,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0301,16426,6028,538,220,,,,,,,,,,,Kokain HQ 1g.
9,20-04-2020 22:00:44,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1131,67199,24660,2201,900,,,,,,,,,,,Metadon 1gr
