,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-05-2020 00:46:20,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0163,11510,4241,387,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,20-05-2020 00:46:20,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0239,17012,6267,573,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
2,2,20-05-2020 00:46:20,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0252,18098,6668,609,250.0,,,,,,,,,,Kokain HQ 1g.
3,3,20-05-2020 00:46:20,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0833,65153,24003,2193,900.0,,,,,,,,,,Metadon 1gr
4,4,20-05-2020 00:46:20,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0246,17302,6374,582,239.0,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,5,20-05-2020 00:46:20,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0091,6443,2374,217,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
6,6,20-05-2020 00:46:20,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0102,7239,2667,244,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,20-05-2020 00:46:20,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0072,5067,1867,171,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,8,20-05-2020 00:46:20,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0478,35472,13068,1194,490.0,,,,,,,,,,Kokain HQ 2g.
9,9,20-05-2020 00:46:20,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.009000000000000001,6370,2347,214,88.0,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
10,10,20-05-2020 00:46:20,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8615,3174,290,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,11,20-05-2020 00:46:20,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0132,9411,3467,317,130.0,,,,,,,,,,3 G Hybrid Marijuana Big Buds
12,12,20-05-2020 00:46:20,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0122,8615,3174,290,119.0,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
13,13,20-05-2020 00:46:20,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0108,7601,2800,256,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
14,14,20-05-2020 00:46:20,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0122,8615,3174,290,119.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
