,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-05-2020 03:35:27,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,3,нет,Тбилиси,0.3 гр,0.0098,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,1,20-05-2020 03:35:27,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0162,4241,384,11510,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,20-05-2020 03:35:27,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0238,6267,568,17012,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
3,3,20-05-2020 03:35:27,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.024,6401,580,17374,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
4,4,20-05-2020 03:35:27,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.025,6668,604,18098,250.0,,,,,,,,,,Kokain HQ 1g.
5,5,20-05-2020 03:35:27,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0828,24003,2174,65153,900.0,,,,,,,,,,Metadon 1gr
6,6,20-05-2020 03:35:27,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0244,6374,577,17302,239.0,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,7,20-05-2020 03:35:27,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0091,2374,215,6443,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,8,20-05-2020 03:35:27,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0101,2667,242,7239,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,20-05-2020 03:35:27,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0072,1867,169,5067,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,10,20-05-2020 03:35:27,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0476,13068,1184,35472,490.0,,,,,,,,,,Kokain HQ 2g.
11,11,20-05-2020 03:35:27,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0089,2347,213,6370,88.0,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
12,12,20-05-2020 03:35:27,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,3174,288,8615,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
13,13,20-05-2020 03:35:27,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0132,3467,314,9411,130.0,,,,,,,,,,3 G Hybrid Marijuana Big Buds
14,14,20-05-2020 03:35:27,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0122,3174,288,8615,119.0,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,20-05-2020 03:35:27,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0107,2800,254,7601,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
