,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-05-2020 21:18:44,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,10,нет,Тбилиси,0.5 гр,0.0168,11502,4277,384,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,20-05-2020 21:18:44,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.003,2098,780,70,29,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,20-05-2020 21:18:44,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0137,9404,3497,314,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,20-05-2020 21:18:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0245,16999,6322,568,235,,,,,,,,,,Cocaine Pure VHQ 1g
4,20-05-2020 21:18:44,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0049,3762,1399,126,52,,,,,,,,,,Lsd 25 buds 1 GR
5,20-05-2020 21:18:44,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0258,18085,6725,604,250,,,,,,,,,,Kokain HQ 1g.
6,20-05-2020 21:18:44,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0854,65104,24210,2174,900,,,,,,,,,,Metadon 1gr
7,20-05-2020 21:18:44,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0252,17289,6429,577,239,True,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,20-05-2020 21:18:44,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0094,6438,2394,215,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
9,20-05-2020 21:18:44,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0074,5064,1883,169,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,20-05-2020 21:18:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0491,33999,12643,1135,470,,,,,,,,,,Cocaine Pure VHQ 2 g
