,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Old Tbilisi (Старый город),Varketili,Батуми,Центр,Кутаиси,desc_en
0,20-07-2020 03:31:53,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.3 гр,0.0127,8822,3397,295,108,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,20-07-2020 03:31:53,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,,10,нет,Тбилиси,0.5 гр,0.0033,2223,857,74,,True,31,,,,,,,0.5g Northen Light
2,20-07-2020 03:31:53,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0036,2438,940,82,,True,34,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,20-07-2020 03:31:53,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0114,7745,2986,259,,,108,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
4,20-07-2020 03:31:53,Tbilisi,UZRVH,ZEBRAWEED,Шишки в состоянии киффа!! 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0028,2080,802,70,,,29,,,,,,,Shishki v sostojanii kiffa!! 0.5g
5,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0063,4303,1659,144,,True,60,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,20-07-2020 03:31:53,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,1 гр,0.0063,4303,1659,144,,True,60,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
7,20-07-2020 03:31:53,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,1 гр,0.0062,4231,1631,142,,True,59,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,20-07-2020 03:31:53,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0063,4303,1659,144,,True,60,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,20-07-2020 03:31:53,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,2,нет,Тбилиси,1 гр,0.0072,4901,1887,164,60,True,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
