,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-02-2020 04:53:11,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0119,8286,3186,287,130,,,,,,,,,,,Metadon 0.15gr
1,21-02-2020 04:53:11,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ 0.25g,True,5,нет,Тбилиси,0.25 гр,0.0101,6374,2451,220,100,,,,,,,,,,,Iranian Black Heroin Old WHQ 0.25g
2,21-02-2020 04:53:11,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0165,11473,4412,397,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,21-02-2020 04:53:11,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0211,13386,5147,463,210,True,,,,,,,,,,"methadone 0,29 gr"
4,21-02-2020 04:53:11,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0164,12111,4657,419,190,,,,,,,,,,,Metadon 0.30gr
5,21-02-2020 04:53:11,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,2,нет,Тбилиси,0.5 гр,0.0111,6948,2672,240,109,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,21-02-2020 04:53:11,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,9,нет,Тбилиси,0.5 гр,0.006,3761,1446,130,59,,,,,,,,,,,0.5 g. Ketamine
7,21-02-2020 04:53:11,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,0.5 гр,0.0029,1849,711,64,29,,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,21-02-2020 04:53:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0091,6310,2426,218,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
9,21-02-2020 04:53:11,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0112,7012,2696,243,110,,,,,,,,,,,"Cocaine, 0.5 g"
