,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,21-03-2020 16:34:04,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0145,8585,3091,282,110.0,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,21-03-2020 16:34:04,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,1,нет,Тбилиси,0.33 гр,0.0071,4208,1518,138,,50.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
2,2,21-03-2020 16:34:04,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,5,нет,Тбилиси,0.5 гр,0.0094,5073,1827,166,65.0,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,3,21-03-2020 16:34:04,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0579,31218,11240,1024,400.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,21-03-2020 16:34:04,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,True,1,нет,Тбилиси,0.5 гр,0.0064,3787,1366,124,,45.0,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
5,5,21-03-2020 16:34:04,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,1 гр,0.0072,3902,1405,128,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,21-03-2020 16:34:04,Tbilisi,64284550d9,1G ---> ONLY BUDS,,6,нет,Тбилиси,1 гр,0.0047,2575,927,84,33.0,,True,,,,,,,,,,1G ---> ONLY BUDS
7,7,21-03-2020 16:34:04,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.0167,9365,3372,307,120.0,,,,,,,,,,,,1g MDMA (IMPORTED)
8,8,21-03-2020 16:34:04,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,10,нет,Тбилиси,1 гр,0.0067,3590,1293,118,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
9,9,21-03-2020 16:34:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0285,15999,5761,525,205.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,21-03-2020 16:34:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0259,13970,5030,458,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,11,21-03-2020 16:34:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1185,70240,25290,2303,900.0,,,,,,,,,,,,Metadon 1gr
12,12,21-03-2020 16:34:04,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,12,нет,Тбилиси,2 гр,0.0138,8195,2951,269,105.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,13,21-03-2020 16:34:04,Tbilisi,64284550d9,2G ---> ONLY BUDS,,13,нет,Тбилиси,2 гр,0.0088,4761,1714,156,61.0,,True,,,,,,,,,,2G ---> ONLY BUDS
14,14,21-03-2020 16:34:04,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,8,нет,Тбилиси,2 гр,0.0047,2810,1012,92,36.0,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
15,15,21-03-2020 16:34:04,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0527,29579,10650,970,379.0,,,,,,,,,,,,Kokain HQ 2g.
16,16,21-03-2020 16:34:04,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,2,нет,Тбилиси,3 гр,0.0066,3902,1405,128,50.0,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
17,17,21-03-2020 16:34:04,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0421,24974,8992,819,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
18,18,21-03-2020 16:34:04,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0465,26088,9409,856,,310.0,,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
19,19,21-03-2020 16:34:04,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0256,13658,4918,448,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
20,20,21-03-2020 16:34:04,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,2,нет,Тбилиси,5 гр,0.114,61421,22115,2014,787.0,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
21,21,21-03-2020 16:34:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0086,5073,1827,166,65.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
