,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,21-03-2020 17:09:36,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,1,нет,Тбилиси,0.33 гр,0.0071,4208,1518,138,50,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
1,21-03-2020 17:09:36,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,True,5,нет,Тбилиси,0.5 гр,0.0095,5073,1827,166,,65,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
2,21-03-2020 17:09:36,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0582,31218,11240,1024,,400,,,,,,,,,,,Metadon VHQ 0.5 24/7
3,21-03-2020 17:09:36,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0167,9365,3372,307,,120,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,21-03-2020 17:09:36,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0073,3902,1405,128,,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,21-03-2020 17:09:36,Tbilisi,ABOAB,ProGrow,1G ---> ONLY BUDS,,5,нет,Тбилиси,1 гр,0.0047,2575,927,84,,33,True,,,,,,,,,,1G ---> ONLY BUDS
6,21-03-2020 17:09:36,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),True,2,нет,Тбилиси,1 гр,0.0167,9365,3372,307,,120,,,,,,,,,,,1g MDMA (IMPORTED)
7,21-03-2020 17:09:36,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,9,нет,Тбилиси,1 гр,0.0067,3590,1293,118,,46,,,,,,,,,,,Amsterdam weed sativa 1gr
8,21-03-2020 17:09:36,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0286,15999,5761,525,,205,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,21-03-2020 17:09:36,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.026,13970,5030,458,,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
10,21-03-2020 17:09:36,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.119,70240,25290,2303,,900,,,,,,,,,,,Metadon 1gr
11,21-03-2020 17:09:36,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,10,нет,Тбилиси,2 гр,0.0139,8195,2951,269,,105,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
