,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,21-04-2020 16:27:13,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0191,10295,3692,331,135,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,21-04-2020 16:27:13,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0189,10295,3692,331,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,21-04-2020 16:27:13,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0154,8312,2981,267,109,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,21-04-2020 16:27:13,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.008,4347,1559,140,57,True,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,21-04-2020 16:27:13,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0304,16776,6017,539,220,,,,,,,,,,Kokain HQ 1g.
5,21-04-2020 16:27:13,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1143,68631,24615,2206,900,,,,,,,,,,Metadon 1gr
6,21-04-2020 16:27:13,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,3,нет,Тбилиси,2 гр,0.0119,6482,2325,208,85,,True,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
7,21-04-2020 16:27:13,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0112,6024,2161,194,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,21-04-2020 16:27:13,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0099,5338,1915,172,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
9,21-04-2020 16:27:13,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0099,5338,1915,172,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
10,21-04-2020 16:27:13,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0119,6482,2325,208,85,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
11,21-04-2020 16:27:13,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0168,9074,3255,292,119,,,,True,,,,,,3g superskunk top class buds. Indica
12,21-04-2020 16:27:13,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0148,8007,2872,257,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
13,21-04-2020 16:27:13,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 3g.,True,1,нет,Тбилиси,3 гр,0.0935,52617,18872,1691,690,,,,,,,,,,VHQ BEST Cocaine 3g.
