,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Авлобари,€,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,21-05-2020 02:05:45,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,10,нет,Тбилиси,0.5 гр,0.0167,11502,4277,383,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,21-05-2020 02:05:45,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,True,1,нет,Тбилиси,0.5 гр,0.0031,2170,807,72,30,,,,,,,,,,Ak - 47 0.5g
2,21-05-2020 02:05:45,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.003,2098,780,70,29,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,21-05-2020 02:05:45,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0137,9404,3497,313,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,21-05-2020 02:05:45,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0245,16999,6322,566,235,,,,,,,,,,Cocaine Pure VHQ 1g
5,21-05-2020 02:05:45,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0247,17361,6456,578,240,,,,,,,,,,VHQ BEST Cocaine 1g.
6,21-05-2020 02:05:45,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0258,18085,6725,602,250,,,,,,,,,,Kokain HQ 1g.
7,21-05-2020 02:05:45,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0852,65104,24210,2168,900,,,,,,,,,,Metadon 1gr
8,21-05-2020 02:05:45,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0251,17289,6429,576,239,True,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
9,21-05-2020 02:05:45,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0094,6438,2394,214,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
10,21-05-2020 02:05:45,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0074,5064,1883,169,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
