,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,21-05-2020 12:55:51,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,10,нет,Тбилиси,0.5 гр,0.0171,11502,4277,383,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,21-05-2020 12:55:51,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.013999999999999999,9404,3497,313,130.0,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,21-05-2020 12:55:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.025,16999,6322,566,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
3,3,21-05-2020 12:55:51,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0253,17361,6456,578,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
4,4,21-05-2020 12:55:51,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0263,18085,6725,602,250.0,,,,,,,,,,Kokain HQ 1g.
5,5,21-05-2020 12:55:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0871,65104,24210,2168,900.0,,,,,,,,,,Metadon 1gr
6,6,21-05-2020 12:55:51,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0257,17289,6429,576,239.0,True,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,7,21-05-2020 12:55:51,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0096,6438,2394,214,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,8,21-05-2020 12:55:51,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0106,7234,2690,241,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,21-05-2020 12:55:51,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0075,5064,1883,169,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,10,21-05-2020 12:55:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.05,33999,12643,1132,470.0,,,,,,,,,,Cocaine Pure VHQ 2 g
