,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-05-2020 16:52:16,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0167,11277,4287,383,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,21-05-2020 16:52:16,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,7,нет,Тбилиси,0.5 гр,0.003,2057,782,70,29,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,21-05-2020 16:52:16,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0136,9220,3505,313,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,21-05-2020 16:52:16,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,3,нет,Тбилиси,1 гр,0.0049,3688,1402,125,52,,,,,,,,,,Lsd 25 buds 1 GR
4,21-05-2020 16:52:16,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0257,17731,6740,602,250,,,,,,,,,,Kokain HQ 1g.
5,21-05-2020 16:52:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0849,63832,24264,2168,900,,,,,,,,,,Metadon 1gr
6,21-05-2020 16:52:16,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.025,16951,6443,576,239,True,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,21-05-2020 16:52:16,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0093,6312,2399,214,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,21-05-2020 16:52:16,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0104,7092,2696,241,100,,,,,,,,,,2 G Hybrid Marijuana Buds
9,21-05-2020 16:52:16,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0487,33334,12671,1132,470,,,,,,,,,,Cocaine Pure VHQ 2 g
10,21-05-2020 16:52:16,Tbilisi,UTYG,Greanheave,LSD 25 buds 2 GR,True,2,нет,Тбилиси,2 гр,0.009,6738,2561,229,95,,,,,,,,,,LSD 25 buds 2 GR
11,21-05-2020 16:52:16,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,6029,2292,205,85,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,21-05-2020 16:52:16,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0125,8440,3208,287,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
