,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,21-07-2020 04:23:23,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,True,1,нет,Тбилиси,0.5 гр,0.0033,2231,861,74,31,,,,,,,,,,,0.5g Northen Light
1,21-07-2020 04:23:23,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 0.5г TOP BUDS,True,1,нет,Тбилиси,0.5 гр,0.0028,2087,806,70,29,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
2,21-07-2020 04:23:23,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0036,2447,945,82,34,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,21-07-2020 04:23:23,Tbilisi,6P9R,RickNMorty,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0115,7772,3000,259,108,True,,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
4,21-07-2020 04:23:23,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,3,нет,Тбилиси,0.5 гр,0.0069,4678,1806,156,65,,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
5,21-07-2020 04:23:23,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0064,4318,1667,144,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,21-07-2020 04:23:23,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.0063,4246,1639,142,59,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,21-07-2020 04:23:23,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0064,4318,1667,144,60,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,21-07-2020 04:23:23,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,6,нет,Тбилиси,1 гр,0.0053,3958,1528,132,55,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
9,21-07-2020 04:23:23,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0117,7916,3056,264,110,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
10,21-07-2020 04:23:23,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,2 гр,0.0128,8636,3334,288,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
11,21-07-2020 04:23:23,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0117,7916,3056,264,110,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
