,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,22-04-2020 01:52:20,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0188,10295,3699,335,135,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,22-04-2020 01:52:20,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0186,10295,3699,335,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,22-04-2020 01:52:20,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0069,4194,1507,137,55,,,,,,,,,,1 G Hybrid Marijuana Buds
3,22-04-2020 01:52:20,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0324,17920,6439,583,235,,,,,,,,,,Cocaine Pure VHQ 1g
4,22-04-2020 01:52:20,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0328,18301,6576,596,240,,,,,,,,,,VHQ BEST Cocaine 1g.
5,22-04-2020 01:52:20,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.03,16776,6028,546,220,,,,,,,,,,Kokain HQ 1g.
6,22-04-2020 01:52:20,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1129,68631,24660,2234,900,,,,,,,,,,Metadon 1gr
7,22-04-2020 01:52:20,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0125,7626,2740,248,100,,,,,,,,,,2 G Hybrid Marijuana Buds
8,22-04-2020 01:52:20,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,1,нет,Тбилиси,2 гр,0.0117,6482,2329,211,85,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
9,22-04-2020 01:52:20,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.011,6024,2165,196,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
10,22-04-2020 01:52:20,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0098,5338,1918,174,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
11,22-04-2020 01:52:20,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0098,5338,1918,174,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
