,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,22-05-2020 06:56:16,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0171,11277,4287,379,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,22-05-2020 06:56:16,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,True,8,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30,,,,,,,,,,,Ak - 47 0.5g
2,22-05-2020 06:56:16,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,21,нет,Тбилиси,0.5 гр,0.0031,2057,782,69,29,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,22-05-2020 06:56:16,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,22-05-2020 06:56:16,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0139,9220,3505,310,130,True,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,22-05-2020 06:56:16,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0249,16667,6336,561,235,,,,,,,,,,,Cocaine Pure VHQ 1g
6,22-05-2020 06:56:16,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.005,3688,1402,124,52,,,,,,,,,,,Lsd 25 buds 1 GR
7,22-05-2020 06:56:16,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0252,17022,6470,573,240,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,22-05-2020 06:56:16,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0044,2908,1105,98,41,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
9,22-05-2020 06:56:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0869,63832,24264,2147,900,,,,,,,,,,,Metadon 1gr
10,22-05-2020 06:56:16,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0256,16951,6443,570,239,True,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
11,22-05-2020 06:56:16,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0106,7092,2696,239,100,,,,,,,,,,,2 G Hybrid Marijuana Buds
12,22-05-2020 06:56:16,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4965,1887,167,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
