,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,22-05-2020 20:22:15,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0169,11429,4287,379,159.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,22-05-2020 20:22:15,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,5,нет,Тбилиси,0.5 гр,0.0058,3953,1483,131,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,22-05-2020 20:22:15,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,9,нет,Тбилиси,0.5 гр,0.003,2085,782,69,29.0,,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,22-05-2020 20:22:15,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,4,нет,Тбилиси,0.5 гр,0.0138,9344,3505,310,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,22-05-2020 20:22:15,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,2,нет,Тбилиси,1 гр,0.0053,3594,1348,119,50.0,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
5,5,22-05-2020 20:22:15,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,2,нет,Тбилиси,1 гр,0.0053,3594,1348,119,50.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
6,6,22-05-2020 20:22:15,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3594,1348,119,50.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
7,7,22-05-2020 20:22:15,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,1 гр,0.0053,3594,1348,119,50.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,8,22-05-2020 20:22:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0247,16892,6336,561,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,22-05-2020 20:22:15,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.005,3738,1402,124,52.0,,,,,,,,,,,,Lsd 25 buds 1 GR
10,10,22-05-2020 20:22:15,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.025,17251,6470,573,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,22-05-2020 20:22:15,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,64692,24264,2147,900.0,,,,,,,,,,,,Metadon 1gr
12,12,22-05-2020 20:22:15,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,6,нет,Тбилиси,1 гр,0.0254,17179,6443,570,239.0,True,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,22-05-2020 20:22:15,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.011000000000000001,7547,2831,250,105.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,14,22-05-2020 20:22:15,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0094,6397,2399,212,89.0,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
