,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,22-07-2020 03:33:29,Tbilisi,ABOAB,ProGrow,0.5-G ---> Pineapple (BTC - Sale),True,1,нет,Тбилиси,0.5 гр,0.0029,1987,784,67,28,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
1,22-07-2020 03:33:29,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,12,нет,Тбилиси,0.5 гр,0.0035,2413,952,81,34,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
2,22-07-2020 03:33:29,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,,3,нет,Тбилиси,0.5 гр,0.0034,2342,924,79,33,True,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
3,22-07-2020 03:33:29,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.0062,4258,1680,143,60,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,22-07-2020 03:33:29,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0061,4187,1652,141,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,22-07-2020 03:33:29,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0062,4258,1680,143,60,True,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,22-07-2020 03:33:29,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0061,4187,1652,141,59,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,22-07-2020 03:33:29,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4187,1652,141,59,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
8,22-07-2020 03:33:29,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds!,,5,нет,Тбилиси,1 гр,0.0058,3903,1540,131,55,,True,,,,,,,,,1 g.Super Skunk top class buds!
9,22-07-2020 03:33:29,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3761,1484,127,53,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
10,22-07-2020 03:33:29,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0055,3761,1484,127,53,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,22-07-2020 03:33:29,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0062,4258,1680,143,60,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
12,22-07-2020 03:33:29,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3903,1540,131,55,True,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,22-07-2020 03:33:29,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0103,7026,2772,236,99,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,22-07-2020 03:33:29,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0114,7735,3052,260,109,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,22-07-2020 03:33:29,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0125,8516,3360,287,120,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,22-07-2020 03:33:29,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0115,7806,3080,263,110,True,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
17,22-07-2020 03:33:29,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,2 гр,0.0104,7806,3080,263,110,True,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
18,22-07-2020 03:33:29,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,,2,нет,Тбилиси,2 гр,0.0103,7735,3052,260,109,True,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
19,22-07-2020 03:33:29,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,3 гр,0.0058,3903,1540,131,55,True,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,22-07-2020 03:33:29,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0135,9226,3640,310,130,,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
21,22-07-2020 03:33:29,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,6,нет,Тбилиси,3 гр,0.003,2058,812,69,29,,True,,,,,,,,,Marijuana Super Skunk leaves 3g plan
