,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
0,22-07-2020 12:45:36,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,15,нет,Тбилиси,0.5 гр,0.0035,2342,926,79,33,,,,,,,,,,0.5 gr HYBRID buds
1,22-07-2020 12:45:36,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0036,2413,954,81,34,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
2,22-07-2020 12:45:36,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0035,2342,926,79,33,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
3,22-07-2020 12:45:36,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0063,4258,1683,143,60,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,22-07-2020 12:45:36,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4187,1655,141,59,True,,,,,,,,,1 G Hybrid Marijuana Buds
5,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0063,4258,1683,143,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0058,3903,1543,131,55,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0062,4187,1655,141,59,,,,,,,,,,1 gr super lemon haze probnik
8,22-07-2020 12:45:36,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0062,4187,1655,141,59,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,22-07-2020 12:45:36,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0062,4187,1655,141,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,22-07-2020 12:45:36,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds!,,3,нет,Тбилиси,1 гр,0.0058,3903,1543,131,55,,True,,,,,,,,1 g.Super Skunk top class buds!
11,22-07-2020 12:45:36,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),,1,нет,Тбилиси,1 гр,0.0055,3761,1487,127,53,True,,,,,,,,,1.0 gr. Afghan kush (Indika)
12,22-07-2020 12:45:36,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0055,3761,1487,127,53,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
