,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
0,0,22-07-2020 22:16:32,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,10,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,22-07-2020 22:16:32,Tbilisi,d04eeb6525,Hybrid Bomba 0.5г TOP BUDS,True,4,нет,Тбилиси,0.5 гр,0.0027,2053,815,69,29.0,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
2,2,22-07-2020 22:16:32,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0035,2407,955,81,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,22-07-2020 22:16:32,Tbilisi,ae784bef73,NEW! ГАШИШ ! NEW ! 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0046,3185,1264,107,45.0,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
4,4,22-07-2020 22:16:32,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,22-07-2020 22:16:32,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,6,нет,Тбилиси,0.5 гр,0.0036,2478,983,84,35.0,True,,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
6,6,22-07-2020 22:16:32,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,2,нет,Тбилиси,0.5 гр,0.0067,4601,1826,155,65.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
7,7,22-07-2020 22:16:32,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0061,4177,1657,141,59.0,,,,,,,,,,,1 gr super lemon haze probnik
8,8,22-07-2020 22:16:32,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,3,нет,Тбилиси,1 гр,0.0055,3752,1489,127,53.0,True,,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,9,22-07-2020 22:16:32,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0055,3752,1489,127,53.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,22-07-2020 22:16:32,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0062,4247,1685,143,60.0,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
11,11,22-07-2020 22:16:32,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0051,3469,1376,117,49.0,,,,,,,,,,,1gr HYBRID o.g
12,12,22-07-2020 22:16:32,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,True,2,нет,Тбилиси,1 гр,0.0062,4247,1685,143,60.0,,True,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
