,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 01:05:11,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,1,нет,Тбилиси,0.25 гр,0.0285,14828,5339,486,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,23-03-2020 01:05:11,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0136,7024,2529,230,90.0,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,23-03-2020 01:05:11,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,7,нет,Тбилиси,0.25 гр,0.0287,14828,5339,486,190.0,True,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,23-03-2020 01:05:11,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0144,7726,2782,253,99.0,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,23-03-2020 01:05:11,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,2,нет,Тбилиси,0.5 гр,0.0098,5073,1827,166,65.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,5,23-03-2020 01:05:11,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.5 грамм,,1,нет,Тбилиси,0.5 гр,0.0067,3787,1366,124,,True,45.0,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.5 gramm
6,6,23-03-2020 01:05:11,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,1,нет,Тбилиси,1 гр,0.0068,3512,1265,115,45.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,7,23-03-2020 01:05:11,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,8,нет,Тбилиси,1 гр,0.006999999999999999,3590,1293,118,46.0,True,,,,,,,,,,,Amsterdam weed sativa 1gr
8,8,23-03-2020 01:05:11,Tbilisi,edfbad0151,Blue Cheese Auto 1G pressed buds(Hydro),,2,нет,Тбилиси,1 гр,0.0067,3512,1265,115,45.0,True,,,,,,,,,,,Blue Cheese Auto 1G pressed buds(Hydro)
9,9,23-03-2020 01:05:11,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0274,14750,5311,484,189.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
10,10,23-03-2020 01:05:11,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,2,нет,Тбилиси,1 гр,0.006999999999999999,3590,1293,118,46.0,True,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
11,11,23-03-2020 01:05:11,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,4,нет,Тбилиси,1 гр,0.0298,15999,5761,525,205.0,True,,,,,,,,,,,VHQ BEST Cocaine 1g.
12,12,23-03-2020 01:05:11,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,4,нет,Тбилиси,1 гр,0.0032,1795,646,59,23.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
13,13,23-03-2020 01:05:11,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0271,13970,5030,458,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
14,14,23-03-2020 01:05:11,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1238,70240,25290,2303,900.0,True,,,,,,,,,,,Metadon 1gr
15,15,23-03-2020 01:05:11,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,8,нет,Тбилиси,2 гр,0.0144,8195,2951,269,105.0,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,23-03-2020 01:05:11,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,6,нет,Тбилиси,2 гр,0.0136,7024,2529,230,90.0,True,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
17,17,23-03-2020 01:05:11,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,2 гр,0.012,6166,2220,202,79.0,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
18,18,23-03-2020 01:05:11,Tbilisi,64284550d9,2G ---> ONLY BUDS,True,1,нет,Тбилиси,2 гр,0.0092,4761,1714,156,61.0,,,,,,,,,,,,2G ---> ONLY BUDS
19,19,23-03-2020 01:05:11,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.0121,6166,2220,202,79.0,,,,True,,,,,,,,2g super Skunk top class buds. Indica
