,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
0,23-04-2020 19:53:34,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0176,10142,3679,337,135,,,,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,23-04-2020 19:53:34,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.0065,4132,1499,137,55,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,23-04-2020 19:53:34,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1065,67616,24525,2245,900,,,,,,,,,,,,,,,,Metadon 1gr
3,23-04-2020 19:53:34,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0314,17956,6513,596,239,,,,,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,23-04-2020 19:53:34,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,2 гр,0.0118,7513,2725,249,100,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
5,23-04-2020 19:53:34,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0104,5935,2153,197,79,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,23-04-2020 19:53:34,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0618,36062,13080,1198,480,,,,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
7,23-04-2020 19:53:34,Tbilisi,A3I9,Joookerrr,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0047,2705,981,90,36,True,,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
8,23-04-2020 19:53:34,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6386,2316,212,85,,True,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
9,23-04-2020 19:53:34,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0138,7889,2861,262,105,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
10,23-04-2020 19:53:34,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,2,нет,Тбилиси,4 гр,0.0072,4132,1499,137,55,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
11,23-04-2020 19:53:34,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,2,нет,Тбилиси,4 гр,0.0072,4132,1499,137,55,,,True,,,,,,,,,,,,,N booom 4 shtuki (gldani)
