,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,23-05-2020 00:43:46,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,6,нет,Тбилиси,0.5 гр,0.017,11429,4287,379,159,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,23-05-2020 00:43:46,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,5,нет,Тбилиси,0.5 гр,0.0058,3953,1483,131,55,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,23-05-2020 00:43:46,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,8,нет,Тбилиси,0.5 гр,0.0031,2085,782,69,29,,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,23-05-2020 00:43:46,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,4,нет,Тбилиси,0.5 гр,0.0139,9344,3505,310,130,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,23-05-2020 00:43:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0249,16892,6336,561,235,,,,,,,,,,,,Cocaine Pure VHQ 1g
5,23-05-2020 00:43:46,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.005,3738,1402,124,52,,,,,,,,,,,,Lsd 25 buds 1 GR
6,23-05-2020 00:43:46,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0251,17251,6470,573,240,,,,,,,,,,,,VHQ BEST Cocaine 1g.
7,23-05-2020 00:43:46,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0865,64692,24264,2147,900,,,,,,,,,,,,Metadon 1gr
8,23-05-2020 00:43:46,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,6,нет,Тбилиси,1 гр,0.0255,17179,6443,570,239,True,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
9,23-05-2020 00:43:46,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0111,7547,2831,250,105,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
