,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,23-06-2020 05:45:03,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.012,8483,3286,290,109,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,23-06-2020 05:45:03,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,,19,нет,Тбилиси,0.5 гр,0.0162,11048,4263,378,,True,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,23-06-2020 05:45:03,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,8,нет,Тбилиси,0.5 гр,0.0176,12160,4692,416,,True,175,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,23-06-2020 05:45:03,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0161,11117,4290,380,,True,160,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,23-06-2020 05:45:03,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,7,нет,Тбилиси,0.5 гр,0.003,2085,804,71,,,30,,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,23-06-2020 05:45:03,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,1,нет,Тбилиси,0.5 гр,0.0029,2085,804,71,,True,30,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
6,23-06-2020 05:45:04,Tbilisi,UZRVH,ZEBRAWEED,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0137,10423,4022,356,,True,150,,,,,,,,,,KETAMIN WHQ 0.5g
7,23-06-2020 05:45:04,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0029,2015,777,69,,True,29,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,23-06-2020 05:45:04,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0132,9033,3485,309,,,130,,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
9,23-06-2020 05:45:04,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,1 гр,0.006,4169,1609,142,,True,60,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,23-06-2020 05:45:04,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0058,4030,1555,138,,,58,,,True,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
11,23-06-2020 05:45:04,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,13,нет,Тбилиси,1 гр,0.006,4169,1609,142,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
12,23-06-2020 05:45:04,Tbilisi,9Y6T,WeedShop,Ak - 47 1г,,1,нет,Тбилиси,1 гр,0.0055,3822,1475,131,,True,55,,,,,,,,,,Ak - 47 1g
13,23-06-2020 05:45:04,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,,2,нет,Тбилиси,1 гр,0.0306,21123,8150,722,,True,304,,,,True,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
14,23-06-2020 05:45:04,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0243,16607,6408,568,,,239,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
15,23-06-2020 05:45:04,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,6,нет,Тбилиси,2 гр,0.011,7574,2922,259,,,109,,,True,,,,,,,2 G Hybrid Marijuana Buds
16,23-06-2020 05:45:04,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0111,7643,2949,261,,True,110,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
17,23-06-2020 05:45:04,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,21,нет,Тбилиси,2 гр,0.0089,6115,2359,209,,True,88,,,,,,,,,,2gr HYBRID buds
18,23-06-2020 05:45:04,Tbilisi,QVK5,Galiak,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,1,нет,Тбилиси,2 гр,0.0089,6115,2359,209,,,88,,,True,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
19,23-06-2020 05:45:04,Tbilisi,1MZLP,WeedbooM,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5906,2279,202,,,85,,True,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
20,23-06-2020 05:45:04,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,37,нет,Тбилиси,3 гр,0.0088,6045,2332,207,,True,87,,,,,True,,,,,3 gr georgian weed. Package on magnet
21,23-06-2020 05:45:04,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,13,нет,Тбилиси,3 гр,0.0069,4794,1850,164,,True,69,,,,,True,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
22,23-06-2020 05:45:04,Tbilisi,1MZLP,WeedbooM,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0141,9728,3753,332,,,140,,True,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
23,23-06-2020 05:45:04,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.022,16676,6434,570,,True,240,,,,,,,,,,5g. marihuana shishki Critical
