,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,23-06-2020 15:29:10,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0122,8467,3294,290,109.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,23-06-2020 15:29:10,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,18,нет,Тбилиси,0.5 гр,0.0162,10945,4253,378,,True,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,23-06-2020 15:29:10,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,7,нет,Тбилиси,0.5 гр,0.0177,12047,4681,416,,True,175.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,23-06-2020 15:29:10,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0161,11014,4280,380,,True,160.0,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,23-06-2020 15:29:10,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,6,нет,Тбилиси,0.5 гр,0.003,2065,803,71,,,30.0,,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,23-06-2020 15:29:10,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0138,10326,4013,356,,True,150.0,,,,,,,,,,KETAMIN WHQ 0.5g
6,6,23-06-2020 15:29:10,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,7,нет,Тбилиси,0.5 гр,0.0029,1996,776,69,,True,29.0,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
7,7,23-06-2020 15:29:10,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,1 гр,0.0061,4130,1605,142,,True,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,23-06-2020 15:29:10,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,12,нет,Тбилиси,1 гр,0.0061,4130,1605,142,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,23-06-2020 15:29:10,Tbilisi,16a8841259,Ak - 47 1г,,1,нет,Тбилиси,1 гр,0.0056,3786,1471,131,,True,55.0,,,,,,,,,,Ak - 47 1g
10,10,23-06-2020 15:29:10,Tbilisi,ebadfc162f,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,2,нет,Тбилиси,1 гр,0.0056,3786,1471,131,,,55.0,,,True,,,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
11,11,23-06-2020 15:29:10,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,,2,нет,Тбилиси,1 гр,0.0307,20927,8132,722,,True,304.0,,,,True,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
12,12,23-06-2020 15:29:10,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0244,16452,6393,568,,,239.0,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,23-06-2020 15:29:10,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,6,нет,Тбилиси,2 гр,0.011000000000000001,7503,2916,259,,,109.0,,,True,,,,,,,2 G Hybrid Marijuana Buds
14,14,23-06-2020 15:29:10,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0111,7572,2943,261,,True,110.0,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
15,15,23-06-2020 15:29:10,Tbilisi,0dec0e1c48,2gr HYBRID buds,,20,нет,Тбилиси,2 гр,0.0089,6058,2354,209,,True,88.0,,,,,,,,,,2gr HYBRID buds
16,16,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,12,нет,Тбилиси,2 гр,0.0076,5163,2006,178,,True,75.0,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,17,23-06-2020 15:29:10,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,2,нет,Тбилиси,2 гр,0.0106,7228,2809,249,,,105.0,,,True,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
18,18,23-06-2020 15:29:10,Tbilisi,54915c4374,марки н-боом 2 шт.,,6,нет,Тбилиси,2 гр,0.0035,2409,936,83,,,35.0,,True,,,,,,,,marki n-boom 2 sht.
19,19,23-06-2020 15:29:10,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5851,2274,202,,,85.0,,True,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
20,20,23-06-2020 15:29:10,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,37,нет,Тбилиси,3 гр,0.0088,5989,2327,207,,True,87.0,,,,,True,,,,,3 gr georgian weed. Package on magnet
21,21,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,2,нет,Тбилиси,3 гр,0.0045,3029,1177,105,,True,44.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,22,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,10,нет,Тбилиси,3 гр,0.006999999999999999,4750,1846,164,,,69.0,,,,,True,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
23,23,23-06-2020 15:29:10,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0141,9637,3745,332,,,140.0,,True,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
24,24,23-06-2020 15:29:10,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.022000000000000002,16521,6420,570,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
25,25,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,6,нет,Тбилиси,5 гр,0.006999999999999999,4750,1846,164,,True,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,26,23-06-2020 15:29:10,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0178,12047,4681,416,,True,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,23-06-2020 15:29:10,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,8,нет,Тбилиси,5 гр,0.0137,10257,3986,354,,True,149.0,,,,,,,,,,5g. GEO Marihuana boshki
28,28,23-06-2020 15:29:10,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1157,80540,31298,2779,,True,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
29,29,23-06-2020 15:29:10,Tbilisi,54915c4374,марки н-боом 5шт.,,11,10,Тбилиси,5 гр,0.0066,4474,1739,154,,True,65.0,,True,,,,,,,,marki n-boom 5sht.
30,30,23-06-2020 15:29:10,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,10,нет,Тбилиси,10 гр,0.0241,16452,6393,568,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
31,31,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,20,нет,Тбилиси,10 гр,0.0168,11358,4414,392,,True,165.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,32,23-06-2020 15:29:10,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0201,13699,5323,473,,True,199.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
33,33,23-06-2020 15:29:10,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0459,34419,13375,1187,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
34,34,23-06-2020 15:29:10,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,11,нет,Тбилиси,15 гр,0.0091,6195,2408,214,,True,90.0,,,,,,,,,,Silver haze leaves list'ja 15gr
35,35,23-06-2020 15:29:10,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2037,137675,53500,4750,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,23-06-2020 15:29:48,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,4,Тбилиси,0.5 гр,0.0091,6195,2408,214,,True,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
37,37,23-06-2020 15:29:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,7,Тбилиси,1 гр,0.0045,3098,1204,107,,True,45.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
38,38,23-06-2020 15:29:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0091,6195,2408,214,,True,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
39,39,23-06-2020 15:29:48,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0376,25401,9871,876,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
40,40,23-06-2020 15:29:48,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0085,5826,2267,200,75.0,True,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
41,41,23-06-2020 15:29:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0121,8261,3210,285,,True,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
42,42,23-06-2020 15:29:48,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0591,39857,15488,1375,,True,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,23-06-2020 15:29:48,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0404,27535,10700,950,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,23-06-2020 15:29:48,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,10,Тбилиси,4 гр,0.0121,8261,3210,285,,True,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
45,45,23-06-2020 15:29:48,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0252,17209,6688,594,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
46,46,23-06-2020 15:29:48,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0555,37861,14713,1306,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,23-06-2020 15:29:48,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0273,18586,7223,641,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,23-06-2020 15:29:48,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0283,19275,7490,665,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,49,23-06-2020 15:29:48,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0278,18930,7356,653,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,50,23-06-2020 15:29:48,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0242,16521,6420,570,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,51,23-06-2020 15:29:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0283,19275,7490,665,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,23-06-2020 15:29:48,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0273,18586,7223,641,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,23-06-2020 15:29:48,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0201,15075,5858,520,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,23-06-2020 15:29:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,10,Тбилиси,5 гр,0.0177,12047,4681,416,,True,175.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
55,55,23-06-2020 15:29:48,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0273,18586,7223,641,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,56,23-06-2020 15:29:48,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1515,103256,40125,3562,,True,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
57,57,23-06-2020 15:29:48,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2534,190000,87429,6498,,True,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,23-06-2020 15:29:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2754,206513,80250,7124,,,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,23-06-2020 15:29:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0978,66015,25653,2277,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,23-06-2020 15:29:48,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0194,13079,5083,451,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,23-06-2020 15:29:48,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0499,33662,13081,1161,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
