,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
0,0,23-07-2020 17:14:27,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,16,нет,Тбилиси,0.5 гр,0.0034,2342,929,79,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,23-07-2020 17:14:27,Tbilisi,21de5577be,0.5 gr. Afghan kush (Indika),,12,нет,Тбилиси,0.5 гр,0.0032,2200,873,74,31.0,True,,,,,,,,,,0.5 gr. Afghan kush (Indika)
2,2,23-07-2020 17:14:27,Tbilisi,ae784bef73,NEW! ГАШИШ ! NEW ! 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0046,3193,1267,107,45.0,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
3,3,23-07-2020 17:14:27,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,4,нет,Тбилиси,1 гр,0.0055,3761,1492,126,53.0,True,,,,,,,,,,1.0 gr. Afghan kush (Indika)
4,4,23-07-2020 17:14:27,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0055,3761,1492,126,53.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
5,5,23-07-2020 17:14:27,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,6,нет,Тбилиси,1 гр,0.0405,27605,10950,928,389.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,6,23-07-2020 17:14:27,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,16,нет,Тбилиси,1 гр,0.0051,3477,1379,117,49.0,,,,,,,,,,,1gr HYBRID o.g
7,7,23-07-2020 17:14:27,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,2,нет,Тбилиси,1 гр,0.0052,3903,1548,131,55.0,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
8,8,23-07-2020 17:14:27,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,True,9,нет,Тбилиси,1 гр,0.0051,3600,1657,121,,,,,,,,,,,,Shishka dobraja 1 g
9,9,23-07-2020 17:14:27,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,5,нет,Тбилиси,2 гр,0.0113,7806,3097,262,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
10,10,23-07-2020 17:14:27,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0124,8516,3378,286,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
11,11,23-07-2020 17:14:27,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0124,8516,3378,286,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
12,12,23-07-2020 17:14:27,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0113,7806,3097,262,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
13,13,23-07-2020 17:14:27,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0103,7096,2815,239,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,14,23-07-2020 17:14:27,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,4,нет,Тбилиси,2 гр,0.0124,8516,3378,286,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
15,15,23-07-2020 17:14:27,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,2,нет,Тбилиси,2 гр,0.0206,14193,5630,477,200.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
16,16,23-07-2020 17:14:27,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,3,нет,Тбилиси,2 гр,0.0103,7806,3097,262,110.0,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
17,17,23-07-2020 17:14:27,Tbilisi,d04eeb6525,Hybrid Bomba 2 г. TOP BUDS Very Strong,True,2,нет,Тбилиси,2 гр,0.0102,7735,3068,260,109.0,,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
18,18,23-07-2020 17:14:27,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0134,9225,3660,310,130.0,True,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
19,19,23-07-2020 17:14:27,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,4,нет,Тбилиси,3 гр,0.0025,1703,676,57,24.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
20,20,23-07-2020 17:14:27,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),True,4,нет,Тбилиси,3 гр,0.0108,8161,3237,274,115.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
21,21,23-07-2020 17:14:27,Tbilisi,e771f4c371,Red Cherry 4.2G 27%THC *VHQ* Special Price .,True,1,нет,Тбилиси,4.2 гр,0.0196,13483,5349,453,190.0,,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* Special Price .
22,22,23-07-2020 17:14:27,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,4,нет,Тбилиси,5 гр,0.0412,28385,11260,954,400.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
23,23,23-07-2020 17:14:27,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0289,19870,7882,668,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,23-07-2020 17:14:27,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0278,19160,7601,644,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
25,25,23-07-2020 17:14:27,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0183,13838,5489,465,195.0,,,,,,,,,,,5g. marihuana shishki Critical
26,26,23-07-2020 17:14:27,Tbilisi,dd631c4acf,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,6 гр,0.027000000000000003,18379,7291,618,259.0,,,,True,,,,,,,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
27,27,23-07-2020 17:14:27,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,2,нет,Тбилиси,11 гр,0.0169,12773,5067,429,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
28,28,23-07-2020 17:14:27,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0543,41159,16327,1384,580.0,,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
29,29,23-07-2020 17:14:27,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.20800000000000002,141926,56300,4771,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,23-07-2020 17:14:27,Tbilisi,b7446e2cca,CUSTOM Шишки 190g 3in1,True,1,нет,Тбилиси,190 гр,0.4432,305141,121045,10257,4300.0,,,,,,,,,,,CUSTOM Shishki 190g 3in1
31,31,23-07-2020 17:14:27,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,нет,3,Тбилиси,0.4 гр,0.0041,2839,1126,95,40.0,,,,,,,,,,,suboxsone 0.4 g
32,32,23-07-2020 17:14:27,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0373,25479,10091,852,,,,,,310.0,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
33,33,23-07-2020 17:14:27,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0258,17741,7038,596,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
34,34,23-07-2020 17:14:27,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0567,39030,15483,1312,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,23-07-2020 17:15:48,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0566,39030,15483,1312,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,23-07-2020 17:15:48,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,6,Тбилиси,5 гр,0.0278,19160,7601,644,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,23-07-2020 17:15:48,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0283,19515,7741,656,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
