,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,23-07-2020 21:52:36,Tbilisi,EIH4,San4oPan4o,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,9,нет,Тбилиси,0.5 гр,0.0068,4767,1885,159,58,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,23-07-2020 21:52:36,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,13,нет,Тбилиси,0.5 гр,0.0034,2342,929,79,,True,33,,,,,,,,,0.5 gr HYBRID buds
2,23-07-2020 21:52:36,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush (Indika),True,6,нет,Тбилиси,0.5 гр,0.0032,2200,873,74,,,31,,,,,,,,,0.5 gr. Afghan kush (Indika)
3,23-07-2020 21:52:36,Tbilisi,X4ZM,ZYX,NEW! ГАШИШ ! NEW ! 0.5G,,1,нет,Тбилиси,0.5 гр,0.0046,3193,1267,107,,True,45,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
4,23-07-2020 21:52:36,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,,2,нет,Тбилиси,0.5 гр,0.0067,4613,1830,155,,True,65,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
5,23-07-2020 21:52:36,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,1 гр,0.0062,4258,1689,143,,,60,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,23-07-2020 21:52:36,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0061,4187,1661,141,,,59,True,,,,,,,,1 G Hybrid Marijuana Buds
7,23-07-2020 21:52:36,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0062,4258,1689,143,,True,60,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,23-07-2020 21:52:36,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0056,3903,1548,131,,True,55,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,23-07-2020 21:52:36,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),True,4,нет,Тбилиси,1 гр,0.0054,3761,1492,126,,,53,,,,,,,,,1.0 gr. Afghan kush (Indika)
10,23-07-2020 21:52:36,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0054,3761,1492,126,,,53,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,23-07-2020 21:52:36,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,1,нет,Тбилиси,1 гр,0.0403,27605,10950,928,,True,389,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
12,23-07-2020 21:52:36,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,11,нет,Тбилиси,1 гр,0.005,3477,1379,117,,True,49,,,,,,,,,1gr HYBRID o.g
