,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,24-02-2020 06:40:25,Tbilisi,61df6a1c90,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0119,8359,3186,288,130.0,,,,,,,,,,Metadon 0.15gr
1,1,24-02-2020 06:40:25,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,True,3,5,Тбилиси,0.17 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
2,2,24-02-2020 06:40:25,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,4,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,3,24-02-2020 06:40:25,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,3,нет,Тбилиси,0.5 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,4,24-02-2020 06:40:25,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale",True,5,нет,Тбилиси,0.5 гр,0.0023,1608,613,55,25.0,,,,,,,,,,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale"
5,5,24-02-2020 06:40:25,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29.0,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
6,6,24-02-2020 06:40:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.009000000000000001,6366,2426,219,99.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
7,7,24-02-2020 06:40:25,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0105,7009,2672,241,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,24-02-2020 06:40:25,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0274,19290,7353,664,300.0,,,,,,,,,,Metadon 0.6gr
9,9,24-02-2020 06:40:25,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.0151,9645,3677,332,150.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
