,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,24-02-2020 15:45:43,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,3,нет,Тбилиси,0.12 гр,0.0098,7073,2696,243,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,24-02-2020 15:45:43,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0116,8359,3186,288,130,,,,,,,,,,Metadon 0.15gr
2,24-02-2020 15:45:43,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.17 G,True,3,5,Тбилиси,0.17 гр,0.0149,9645,3677,332,150,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
3,24-02-2020 15:45:43,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0098,6430,2451,221,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
4,24-02-2020 15:45:43,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,2,нет,Тбилиси,0.5 гр,0.0068,4437,1691,153,69,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,24-02-2020 15:45:43,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale",True,2,нет,Тбилиси,0.5 гр,0.0022,1608,613,55,25,,,,,,,,,,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale"
6,24-02-2020 15:45:43,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,1,нет,Тбилиси,0.5 гр,0.0028,1865,711,64,29,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
7,24-02-2020 15:45:43,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0088,6366,2426,219,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
8,24-02-2020 15:45:43,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0268,19290,7353,664,300,,,,,,,,,,Metadon 0.6gr
9,24-02-2020 15:45:43,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.0147,9645,3677,332,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
10,24-02-2020 15:45:43,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,6,нет,Тбилиси,1 гр,0.0097,6366,2426,219,99,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
11,24-02-2020 15:45:43,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0049,3215,1226,111,50,,,,,,,,,,1 ecstasy red maseratti VHQ ekstazi import s SShA
12,24-02-2020 15:45:43,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,1 гр,0.0118,7716,2941,265,120,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
13,24-02-2020 15:45:43,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,3,нет,Тбилиси,1 гр,0.0088,5787,2206,199,90,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
14,24-02-2020 15:45:43,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,12,нет,Тбилиси,1 гр,0.0044,2894,1103,100,45,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
15,24-02-2020 15:45:43,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,9,нет,Тбилиси,1 гр,0.0098,6430,2451,221,100,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
16,24-02-2020 15:45:43,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0083,5466,2083,188,85,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
17,24-02-2020 15:45:43,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,13,нет,Тбилиси,1 гр,0.0036,2379,907,82,37,,,,,,,,,,1G -- AK-47 -> Sativa
18,24-02-2020 15:45:43,Tbilisi,OX85,amnesia420,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0035,2508,956,86,39,,,,,,,,,,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale
