,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,24-03-2020 08:30:50,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,9,нет,Тбилиси,0.25 гр,0.0275,15367,5368,502,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
1,1,24-03-2020 08:30:50,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0578,32353,11300,1056,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
2,2,24-03-2020 08:30:50,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0166,9706,3390,317,120.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,24-03-2020 08:30:50,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0159,8816,3079,288,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,24-03-2020 08:30:50,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0065,3640,1271,119,45.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,24-03-2020 08:30:50,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0064,3559,1243,116,44.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,6,24-03-2020 08:30:50,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0072,4044,1413,132,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,24-03-2020 08:30:50,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0066,3721,1300,121,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
8,8,24-03-2020 08:30:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0262,15287,5339,499,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,24-03-2020 08:30:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0284,16581,5791,541,205.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
