,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Gldani,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,24-03-2020 21:16:08,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,1,нет,Тбилиси,0.25 гр,0.0265,14981,5358,502,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
1,1,24-03-2020 21:16:08,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,4,нет,Тбилиси,0.33 гр,0.006,3759,1342,125,,44.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
2,2,24-03-2020 21:16:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0132,7806,2792,261,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,24-03-2020 21:16:08,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0557,31540,11280,1056,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,24-03-2020 21:16:08,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.0061,3469,1241,116,44.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,24-03-2020 21:16:08,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,1 гр,0.0063,3548,1269,119,45.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,6,24-03-2020 21:16:08,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.006999999999999999,3942,1410,132,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,7,24-03-2020 21:16:08,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,19,нет,Тбилиси,1 гр,0.006,3391,1213,114,43.0,,,,,,,,,,,Amsterdam weed sativa 1gr
8,8,24-03-2020 21:16:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0253,14903,5330,499,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,24-03-2020 21:16:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0274,16164,5781,541,205.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,24-03-2020 21:16:08,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0249,14114,5048,472,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,11,24-03-2020 21:16:08,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.114,70964,25380,2376,900.0,,,,,,,,,,,Metadon 1gr
12,12,24-03-2020 21:16:08,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.011000000000000001,6229,2228,209,79.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
13,13,24-03-2020 21:16:08,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0133,8279,2961,277,105.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,14,24-03-2020 21:16:08,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0125,7096,2538,238,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
15,15,24-03-2020 21:16:08,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.011000000000000001,6229,2228,209,79.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
16,16,24-03-2020 21:16:08,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0111,6229,2228,209,79.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
17,17,24-03-2020 21:16:08,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,5,нет,Тбилиси,2 гр,0.0075,4652,1664,156,59.0,,,,True,,,,,,,2gr Indica dominant Buds
18,18,24-03-2020 21:16:08,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,4,нет,Тбилиси,2 гр,0.0046,2839,1015,95,36.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
19,19,24-03-2020 21:16:08,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0148,8279,2961,277,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
20,20,24-03-2020 21:16:08,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,3,нет,Тбилиси,3 гр,0.0061,3785,1354,127,48.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
21,21,24-03-2020 21:16:08,Tbilisi,4be7861731,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0093,5283,1889,177,67.0,,,,True,,,,,,,metadon sirop 4ml
22,22,24-03-2020 21:16:08,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0391,23065,8235,764,,270.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
23,23,24-03-2020 21:16:08,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0535,31540,11280,1056,400.0,,,,,,,,,,,5g MDMA (IMPORTED)
24,24,24-03-2020 21:16:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0246,13799,4935,462,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,24-03-2020 21:16:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,3,нет,Тбилиси,5 гр,0.1088,67732,24224,2267,859.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
26,26,24-03-2020 21:16:08,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0082,5125,1833,172,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,27,24-03-2020 21:16:08,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0556,31461,11252,1053,399.0,,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
