,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
0,0,24-04-2020 05:20:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0176,10142,3679,333,135.0,,,,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,24-04-2020 05:20:39,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0144,8189,2970,269,109.0,,,,,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,24-04-2020 05:20:39,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.0065,4132,1499,136,55.0,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,24-04-2020 05:20:39,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,1 гр,0.0052,3005,1090,99,40.0,True,,,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
4,4,24-04-2020 05:20:39,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,5,нет,Тбилиси,1 гр,0.0051,2930,1063,96,39.0,True,,,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
5,5,24-04-2020 05:20:39,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.031,18031,6540,592,240.0,,,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
6,6,24-04-2020 05:20:39,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1068,67616,24525,2222,900.0,,,,,,,,,,,,,,,,Metadon 1gr
7,7,24-04-2020 05:20:39,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0315,17956,6513,590,239.0,,,,,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,24-04-2020 05:20:39,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,2 гр,0.0119,7513,2725,247,100.0,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,24-04-2020 05:20:39,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0104,5935,2153,195,79.0,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
10,10,24-04-2020 05:20:39,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.062,36062,13080,1185,480.0,,,,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
11,11,24-04-2020 05:20:39,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0047,2705,981,89,36.0,,True,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
12,12,24-04-2020 05:20:39,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6386,2316,210,85.0,True,,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
13,13,24-04-2020 05:20:39,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,3,нет,Тбилиси,3 гр,0.0138,7889,2861,259,105.0,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
14,14,24-04-2020 05:20:39,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,3,нет,Тбилиси,3 гр,0.0131,7513,2725,247,100.0,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
15,15,24-04-2020 05:20:39,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0157,8940,3243,294,119.0,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
16,16,24-04-2020 05:20:39,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0157,8940,3243,294,119.0,,,,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
17,17,24-04-2020 05:20:39,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,2,нет,Тбилиси,4 гр,0.0072,4132,1499,136,55.0,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
