,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
0,24-04-2020 10:18:36,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0177,10142,3679,333,135,,,,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,24-04-2020 10:18:36,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,1 гр,0.0065,4132,1499,136,55,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,24-04-2020 10:18:36,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,1 гр,0.0052,3005,1090,99,40,True,,,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
3,24-04-2020 10:18:36,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,5,нет,Тбилиси,1 гр,0.0051,2930,1063,96,39,True,,,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
4,24-04-2020 10:18:36,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0311,18031,6540,592,240,,,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
5,24-04-2020 10:18:36,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.107,67616,24525,2222,900,,,,,,,,,,,,,,,,Metadon 1gr
6,24-04-2020 10:18:36,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0316,17956,6513,590,239,,,,,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,24-04-2020 10:18:36,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,2 гр,0.0119,7513,2725,247,100,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
8,24-04-2020 10:18:36,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0104,5935,2153,195,79,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
9,24-04-2020 10:18:36,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0622,36062,13080,1185,480,,,,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
10,24-04-2020 10:18:36,Tbilisi,A3I9,Joookerrr,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0047,2705,981,89,36,,True,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
11,24-04-2020 10:18:36,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6386,2316,210,85,True,,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
12,24-04-2020 10:18:36,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,3,нет,Тбилиси,3 гр,0.0139,7889,2861,259,105,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
13,24-04-2020 10:18:36,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,5,нет,Тбилиси,3 гр,0.0131,7513,2725,247,100,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
14,24-04-2020 10:18:36,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0157,8940,3243,294,119,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
