,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
0,0,24-04-2020 19:34:58,Tbilisi,2f51af8159,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0034,1943,711,64,26.0,,,,,,,,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
1,1,24-04-2020 19:34:58,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0065,4109,1504,136,55.0,True,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,24-04-2020 19:34:58,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1068,67245,24615,2222,900.0,True,,,,,,,,,,,,,,,,Metadon 1gr
3,3,24-04-2020 19:34:58,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0119,7472,2735,247,100.0,True,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
4,4,24-04-2020 19:34:58,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0104,5903,2161,195,79.0,True,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
5,5,24-04-2020 19:34:58,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 2 штуки,,1,нет,Тбилиси,2 гр,0.0047,2690,985,89,36.0,,True,,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
6,6,24-04-2020 19:34:58,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6351,2325,210,85.0,,,True,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,7,24-04-2020 19:34:58,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0138,7845,2872,259,105.0,True,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,8,24-04-2020 19:34:58,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0157,8891,3255,294,119.0,True,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,9,24-04-2020 19:34:58,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0157,8891,3255,294,119.0,True,,,,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
10,10,24-04-2020 19:34:58,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),,1,нет,Тбилиси,4 гр,0.0072,4109,1504,136,55.0,True,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
11,11,24-04-2020 19:34:58,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0401,23909,8752,790,320.0,True,,,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
12,12,24-04-2020 19:34:58,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0388,22415,8205,741,300.0,True,,,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,24-04-2020 19:34:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0231,13075,4786,432,175.0,True,,,,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
14,14,24-04-2020 19:34:58,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,7,нет,Тбилиси,10 гр,0.0273,15616,5716,516,209.0,,,,True,,,,,,,,,,,,,10 gr marijuana buds. -indica-
15,15,24-04-2020 19:34:58,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,,2,нет,Тбилиси,10 гр,0.0392,22415,8205,741,300.0,True,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
16,16,24-04-2020 19:34:58,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0501,29887,10940,987,400.0,True,,,,,,,,,,,,,,,,gashish evro 10g
17,17,24-04-2020 19:34:58,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,5,1,Тбилиси,20 гр,0.0529,30260,11077,1000,405.0,True,,,True,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
18,18,24-04-2020 19:34:58,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0973,58055,21251,1918,777.0,True,,,,,,,,,,,,,,,,Gashish Evro 20gr
19,19,24-04-2020 19:34:58,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2374,149433,54700,4937,2000.0,True,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,24-04-2020 19:34:58,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0487,27570,10092,911,369.0,True,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
21,21,24-04-2020 19:34:58,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0778,44083,16137,1457,590.0,True,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,22,24-04-2020 19:34:58,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,37,Тбилиси,4 гр,0.0074,4253,1564,141,,True,True,True,True,True,True,True,True,True,True,True,53.0,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
23,23,24-04-2020 19:34:58,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0522,29887,10940,987,400.0,True,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,24-04-2020 19:34:58,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0718,41094,15043,1358,550.0,True,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
