,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,24-05-2020 09:12:58,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,8,нет,Тбилиси,0.25 гр,0.0106,7188,2705,240,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,24-05-2020 09:12:58,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,2156,812,72,30,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,24-05-2020 09:12:58,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,24-05-2020 09:12:58,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,24-05-2020 09:12:58,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,24-05-2020 09:12:58,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0865,64692,24345,2159,900,,,,,,,,,,,Metadon 1gr
6,24-05-2020 09:12:58,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
7,24-05-2020 09:12:58,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0497,33784,12714,1127,470,,,,,,,,,,,Cocaine Pure VHQ 2 g
8,24-05-2020 09:12:58,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,1,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
9,24-05-2020 09:12:58,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7547,2840,252,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,24-05-2020 09:12:58,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0112,7547,2840,252,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
11,24-05-2020 09:12:58,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0147,9991,3760,333,139,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
12,24-05-2020 09:12:58,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0126,8554,3219,285,119,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
13,24-05-2020 09:12:58,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0187,12579,4734,420,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
14,24-05-2020 09:12:58,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1179,82662,31108,2758,1150,,,,,,,,,,,VHQ BEST Cocaine 5g.
15,24-05-2020 09:12:58,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,True,1,нет,Тбилиси,10 гр,0.0168,12579,4734,420,175,,,,,,,,,,,10 - GRAMM BEASTWEED
16,24-05-2020 09:12:58,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0461,32346,12173,1079,450,,,,,,,,,,,Gashish Evro 10gr
17,24-05-2020 09:12:58,Tbilisi,PTO3,MeDuZa777,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,2,нет,Тбилиси,15 гр,0.0159,10782,4058,360,150,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
18,24-05-2020 09:12:58,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0788,55851,21018,1864,777,,,,,,,,,,,Gashish Evro 20gr
19,24-05-2020 09:12:58,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1923,143761,54100,4797,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,24-05-2020 09:12:58,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13298,5004,444,185,,,,,,,,,,,GABAGAMA 150 shtuk
21,24-05-2020 09:12:58,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0104,7060,2651,236,,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
22,24-05-2020 09:12:58,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0169,11501,4328,384,160,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
23,24-05-2020 09:12:58,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0346,25886,9719,864,,,,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
