,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,24-05-2020 22:53:51,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0109,7188,2705,240,100.0,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,24-05-2020 22:53:51,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29.0,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,24-05-2020 22:53:51,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,1,нет,Тбилиси,0.5 гр,0.0033,2156,812,72,30.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,3,24-05-2020 22:53:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0888,64692,24345,2159,900.0,,,,,,,,,,,,Metadon 1gr
4,4,24-05-2020 22:53:51,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0119,7835,2948,261,109.0,True,,,,,,,,,,,✨ 1g. MDMA ✨
5,5,24-05-2020 22:53:51,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0097,6397,2407,213,89.0,,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
6,6,24-05-2020 22:53:51,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0115,7547,2840,252,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
7,7,24-05-2020 22:53:51,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.013000000000000001,8554,3219,285,119.0,True,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
8,8,24-05-2020 22:53:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,4,нет,Тбилиси,4 гр,0.0116,7691,2894,257,107.0,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
9,9,24-05-2020 22:53:51,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0151,9991,3760,333,139.0,,,True,,,,,,,,,5 gr georgian weed. Package on magnet
10,10,24-05-2020 22:53:51,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.0152,10063,3787,336,140.0,,,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
11,11,24-05-2020 22:53:51,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,3,нет,Тбилиси,10 гр,0.0293,19408,7304,648,270.0,,,,True,,,,,,,,10 gr georgian weed. Package on magnet
12,12,24-05-2020 22:53:51,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,10,нет,Тбилиси,10 гр,0.0297,19695,7412,657,274.0,,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
13,13,24-05-2020 22:53:51,Tbilisi,9610a68a0a,GABAGAMA 10 SHTUK,True,1,нет,Тбилиси,10 гр,0.0015,1078,406,36,15.0,,,,,,,,,,,,GABAGAMA 10 SHTUK
14,14,24-05-2020 22:53:51,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0473,32346,12173,1079,450.0,,,,,,,,,,,,Gashish Evro 10gr
15,15,24-05-2020 22:53:51,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,2,11,Тбилиси,20 гр,0.0574,38025,14309,1269,529.0,,,,True,,,,,,,,20 gr georgian weed. Package on magnet
16,16,24-05-2020 22:53:51,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0809,55851,21018,1864,777.0,,,,,,,,,,,,Gashish Evro 20gr
17,17,24-05-2020 22:53:51,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0079,5750,2164,192,80.0,,,,,,,,,,,,GABAGAMA 50 SHTUK
18,18,24-05-2020 22:53:51,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1973,143761,54100,4797,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,24-05-2020 22:53:51,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0182,13298,5004,444,185.0,,,,,,,,,,,,GABAGAMA 150 shtuk
20,20,24-05-2020 22:53:51,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0106,7060,2651,236,,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
21,21,24-05-2020 22:53:51,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,4,Тбилиси,1 гр,0.0174,11501,4328,384,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
22,22,24-05-2020 22:53:51,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0355,25886,9719,864,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
23,23,24-05-2020 22:53:51,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.023,15095,5681,504,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
24,24,24-05-2020 22:53:51,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0404,26524,9981,885,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
