,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,24-06-2020 11:13:52,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,17,нет,Тбилиси,0.5 гр,0.0161,10945,4253,377,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,24-06-2020 11:13:52,Tbilisi,16a8841259,Ayahuasca Purple 100% Indica 0.5г,True,1,нет,Тбилиси,0.5 гр,0.0031,2134,829,73,31.0,,,,,,,,,,,Ayahuasca Purple 100% Indica 0.5g
2,2,24-06-2020 11:13:52,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0175,12047,4681,415,175.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,24-06-2020 11:13:52,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,7,нет,Тбилиси,0.5 гр,0.016,11014,4280,379,160.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,24-06-2020 11:13:52,Tbilisi,16a8841259,Skunk 0.5г,True,18,нет,Тбилиси,0.5 гр,0.0031,2134,829,73,31.0,,True,,,,,,,,,Skunk 0.5g
5,5,24-06-2020 11:13:52,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0136,10326,4013,355,150.0,,,,,,,,,,,KETAMIN WHQ 0.5g
6,6,24-06-2020 11:13:52,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0131,8949,3478,308,130.0,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,24-06-2020 11:13:52,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.006,4130,1605,142,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,24-06-2020 11:13:52,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,11,нет,Тбилиси,1 гр,0.006,4130,1605,142,60.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,24-06-2020 11:13:52,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,5,нет,Тбилиси,2 гр,0.0109,7503,2916,258,109.0,,,True,,,,,,,,2 G Hybrid Marijuana Buds
10,10,24-06-2020 11:13:52,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,12,нет,Тбилиси,2 гр,0.011000000000000001,7572,2943,261,110.0,True,True,,True,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
11,11,24-06-2020 11:13:52,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.012,8261,3210,284,120.0,,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,24-06-2020 11:13:52,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.012,8261,3210,284,120.0,,True,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,24-06-2020 11:13:52,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,16,нет,Тбилиси,2 гр,0.0088,6058,2354,208,88.0,,,,,,,,,,,2gr HYBRID buds
14,14,24-06-2020 11:13:52,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,10,нет,Тбилиси,2 гр,0.0075,5163,2006,178,75.0,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,24-06-2020 11:13:52,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,4,нет,Тбилиси,2 гр,0.0105,7228,2809,249,105.0,,,True,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
16,16,24-06-2020 11:13:52,Tbilisi,54915c4374,марки н-боом 2 шт.,,9,нет,Тбилиси,2 гр,0.0035,2409,936,83,35.0,,True,,,,,,,,,marki n-boom 2 sht.
17,17,24-06-2020 11:13:52,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0085,5851,2274,201,85.0,,True,,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
18,18,24-06-2020 11:13:52,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,34,нет,Тбилиси,3 гр,0.0087,5989,2327,206,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
19,19,24-06-2020 11:13:52,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,4,нет,Тбилиси,3 гр,0.0044,3029,1177,104,44.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,20,24-06-2020 11:13:52,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,7,нет,Тбилиси,3 гр,0.0069,4750,1846,163,69.0,,,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
