,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,0,24-07-2020 11:26:11,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,8,нет,Тбилиси,0.5 гр,0.0069,4767,1883,160,58.0,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,24-07-2020 11:26:11,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,7,нет,Тбилиси,0.5 гр,0.0035,2342,926,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
2,2,24-07-2020 11:26:11,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,1 гр,0.0063,4258,1683,143,,,60.0,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,3,24-07-2020 11:26:11,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0062,4187,1655,141,,,59.0,True,,,,,,,1 G Hybrid Marijuana Buds
4,4,24-07-2020 11:26:11,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.0063,4258,1683,143,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,24-07-2020 11:26:11,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0057,3903,1543,131,,True,55.0,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,24-07-2020 11:26:11,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0062,4187,1655,141,,True,59.0,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,24-07-2020 11:26:11,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),True,2,нет,Тбилиси,1 гр,0.0055,3761,1487,126,,,53.0,,,,,,,,1.0 gr. Afghan kush (Indika)
8,8,24-07-2020 11:26:11,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,2,нет,Тбилиси,1 гр,0.0055,3761,1487,126,,,53.0,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,9,24-07-2020 11:26:11,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,10,нет,Тбилиси,1 гр,0.0051,3477,1374,117,,True,49.0,,,,,,,,1gr HYBRID o.g
10,10,24-07-2020 11:26:11,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3903,1543,131,,True,55.0,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
11,11,24-07-2020 11:26:11,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3903,1543,131,,True,55.0,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
12,12,24-07-2020 11:26:11,Tbilisi,f374062dcd,Сирец Иран 1гр,,2,нет,Тбилиси,1 гр,0.0246,18450,7293,620,,True,260.0,,,,,,,,Sirets Iran 1gr
