,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-02-2020 01:27:44,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,18,нет,Тбилиси,0.12 гр,0.01,7073,2696,243,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,25-02-2020 01:27:44,Tbilisi,61df6a1c90,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0118,8359,3186,288,130.0,,,,,,,,,,Metadon 0.15gr
2,2,25-02-2020 01:27:44,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,3,25-02-2020 01:27:44,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,1,нет,Тбилиси,0.5 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
4,4,25-02-2020 01:27:44,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29.0,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
5,5,25-02-2020 01:27:44,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0105,7009,2672,241,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,25-02-2020 01:27:44,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,11,нет,Тбилиси,0.5 гр,0.003,1929,735,66,30.0,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
7,7,25-02-2020 01:27:44,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.015,9645,3677,332,150.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
8,8,25-02-2020 01:27:44,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,5,нет,Тбилиси,1 гр,0.0099,6366,2426,219,99.0,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
9,9,25-02-2020 01:27:44,Tbilisi,4a91350669,1 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.005,3215,1226,111,50.0,,,,,,,,,,1 ecstasy red maseratti VHQ ekstazi import s SShA
10,10,25-02-2020 01:27:44,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,1 гр,0.012,7716,2941,265,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,11,25-02-2020 01:27:44,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,4,нет,Тбилиси,1 гр,0.009000000000000001,5787,2206,199,90.0,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
12,12,25-02-2020 01:27:44,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,4,нет,Тбилиси,1 гр,0.0035,2251,858,77,35.0,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
13,13,25-02-2020 01:27:44,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,8,нет,Тбилиси,1 гр,0.01,6430,2451,221,100.0,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
